-7w9qsazt8o-00002-00000475-00000847 感想が一つありつつと
AFjrBde3bCU-00012-00007608-00008301 下からは丸いのに上からは全く見えないやつや
AFjrBde3bCU-00013-00008302-00008643 ここからは、質問系直線部分。
AFjrBde3bCU-00014-00008644-00009128 貸切状態にこり
AFjrBde3bCU-00015-00009129-00009608 京都駅ビルの骨格しか見えませんが50mぐらい行ったところに一つ目の京都市を
AFjrBde3bCU-00016-00009609-00010458 見渡せる、先防部が存在します。
AFjrBde3bCU-00017-00010459-00011124 相変わらず下は見にくいです。やはり駅を上から見るための設計にはなっていないよ。
AFjrBde3bCU-00019-00013125-00014194 少し進むと外が見えるようになってきました。
AFjrBde3bCU-00020-00014194-00015443 ここから行き側は完全にすぎガラスで下を見せる気はないようです。
AFjrBde3bCU-00021-00015444-00015866 夜はこの通路もライトアップされているようですね。
AFjrBde3bCU-00022-00015866-00016363 目の前に京都タワーが見えます。京都タワーしか私には何がなんだかさっぱりと見当がない。
AFjrBde3bCU-00023-00016365-00017032 がつきませんが氷都タワーのすぎ ぐらいに見通しが良いことはわかりました
AFjrBde3bCU-00024-00017033-00018384 敷きのロータリーもバッチリです。
AFjrBde3bCU-00025-00018385-00018801 この空中経路には同じような展望台が3つ存在しています。
AFjrBde3bCU-00026-00018802-00019221 夜間、暗闇に集まるカップルたちのソーシャルディスタンスを保つためにも必要だった。
AFjrBde3bCU-00028-00020100-00022273 賞味、扇望台からの風景はさほど変わらないのでスルーさせていただきます。
AFjrBde3bCU-00029-00022274-00022882 こちらからの風景も、ぜひご自分の目でお確かめください。
AFjrBde3bCU-00030-00022883-00023624 この先は東広場へと通じるエスカレーターです。こちらから来ることもできます。
AFjrBde3bCU-00031-00023625-00023971 それでは、ここら辺で今回は終わりといたします。
AFjrBde3bCU-00032-00023972-00024571 ご視聴ありがとうございました。チャンネル登録と高評価していただけると励みに。
AFjrBde3bCU-00033-00024572-00025074 どうぞよろしくお願いいたします。
AFjrBde3bCU-00036-00026411-00026962 ちなみに、ここから先が東広場になります。
AKX7icguXe4-00004-00001459-00001627 ちょっと重ないけど
AKX7icguXe4-00005-00001628-00002126 こっちこっちかっていいあ
AKX7icguXe4-00007-00002818-00003311 アルミニウムって?これ上のやつじゃん。
AKX7icguXe4-00011-00004040-00004478 おーあれか高校の時にやって現象反応ってやつ?
AKX7icguXe4-00012-00004479-00005574 あれを試験間でやってやるの確かレトロトレーズもできるの?確かにやっぱり仕掛けてるできないの?もうすごい90日
AKX7icguXe4-00013-00005575-00005888 きれいにしれいにきれいにしれいに
AKX7icguXe4-00014-00005889-00007645 普通の子にの好きだよ。おそばきれいに染まってる。しゅうりとりそっしゃん。
AKX7icguXe4-00018-00008425-00009528 足の全部割ったつながちバップインスタ映えす
AKX7icguXe4-00020-00009727-00010312 これいいね、電気会議。
AKX7icguXe4-00023-00010631-00010805 いやいや好きで紐変わってんす
AKX7icguXe4-00024-00010806-00011619 ふっして足もすごい新米中すごい
AKX7icguXe4-00026-00011787-00012048 いいですよ
AKX7icguXe4-00028-00012243-00012711 ちょっとやんたない?歴史を感じるくない?いや
AKX7icguXe4-00029-00012712-00013494 うちゃりんかい やってかけしてなかったりでじゃなくて
AKX7icguXe4-00030-00013496-00013813 中入ってんの?昔の
AKX7icguXe4-00031-00013815-00014402 実験した人のも全くわからないです
AKX7icguXe4-00032-00014403-00014777 250とか書いてるマジ?
AKX7icguXe4-00034-00014980-00016205 何が250なんか分からんけどすごい、ヒレ入れてそうあ、終わった時
AKX7icguXe4-00035-00016206-00016397 溶岩やろ?
AKX7icguXe4-00036-00016398-00016589 ここからだみたいだった
AKX7icguXe4-00037-00016590-00016787 こんにちは
AKX7icguXe4-00038-00016788-00016940 3音で聞くんですけど
AKX7icguXe4-00042-00018168-00018435 バイバイ
AKX7icguXe4-00043-00018436-00018673 この中に花が咲いてなかったりした人
AKX7icguXe4-00044-00018674-00019069 トワイらしくて人気がありすくされて
AKX7icguXe4-00048-00020066-00020267 これです去年は市前
AKX7icguXe4-00049-00020268-00020455 野外実習ですんでね
AKX7icguXe4-00052-00020942-00021313 これよくあの物理を見るやつにこれね
AMv6_eL-aGk-00000-00000063-00000239 皆さんこんにちは
AMv6_eL-aGk-00001-00000240-00000685 逆転裁判 大逆転裁判シリーズ ディレクターの角見周です
AMv6_eL-aGk-00002-00000686-00001228 今日はとても大事なお知らせがあってご挨拶に出てまいりましたそれではこちらをご覧ください
AMv6_eL-aGk-00003-00001229-00001278 ください
AMv6_eL-aGk-00055-00022174-00022676 大逆転サイバー1&2 なるほど龍之介の冒険と覚悟
AMv6_eL-aGk-00056-00022677-00022985 2015年に発売された大逆転裁判
AMv6_eL-aGk-00057-00022986-00023390 そして2017年に発売された外国店裁判2
AMv6_eL-aGk-00058-00023391-00023769 この2つの作品がいよいよ一つになって登場します
AMv6_eL-aGk-00059-00023770-00024117 プラットフォームはNintendo SwitchPlayStation 4
AMv6_eL-aGk-00060-00024118-00024319 そしてSteamです
AMv6_eL-aGk-00061-00024320-00024910 逆転裁判の世界と19世紀クラシックミステリーの世界が融合して新しい物語
AMv6_eL-aGk-00062-00024911-00025573 そこに最高の美術とキャラクターデザイン美しい音楽が加わって一度一度自信と誇り
AMv6_eL-aGk-00063-00025574-00025783 をもってお勧めできる一品です
AMv6_eL-aGk-00064-00025783-00025893 僕も大好きです
AMv6_eL-aGk-00091-00036233-00036712 2001年から始まった逆転の歴史も今年でなんと20周年
AMv6_eL-aGk-00092-00036713-00037395 節目となるこの年に大学生裁判を世界に向けて発表することができてとても嬉しいです
AMv6_eL-aGk-00093-00037396-00037878 今回はついに英語にも対応できたので海外の皆さんにも遊んでいただけるようになりました
AMv6_eL-aGk-00094-00037879-00037967 ました
AMv6_eL-aGk-00095-00037968-00038271 作り手として本当にドキドキしています
AMv6_eL-aGk-00096-00038272-00038616 ということで大学天才の1&2
AMv6_eL-aGk-00097-00038617-00038862 なるほど 龍之介の冒険と覚悟
AMv6_eL-aGk-00098-00038863-00039040 発売までどうぞお楽しみに
AVwvxPNSuTy-00001-00001036-00001416 はいおはようございますマスクラでございます顔痛い
AVwvxPNSuTy-00002-00001417-00001669 めっちゃ顔痛い
AVwvxPNSuTy-00003-00001670-00002170 昨日ね、僕のチャンネルではないんですけど、釣り行ってきて、6時間くらいでやったら、
AVwvxPNSuTy-00004-00002171-00002410 めっちゃ履けました
AVwvxPNSuTy-00005-00002411-00002824 顔が痛いで、今日なんですけどさっきねちょっと
AVwvxPNSuTy-00006-00002825-00003349 コストコさんに行ってきてずっとね食べたいなと思ったけどなかなかね
AVwvxPNSuTy-00007-00003350-00003643 私のお店に行った商品があったんですが
AVwvxPNSuTy-00008-00003644-00004183 ついに買ってしまいましたなんでちょっとね今そのメニューを持ってきて今日はおうよ
AVwvxPNSuTy-00009-00004184-00004336 失礼したいと思います
AVwvxPNSuTy-00012-00004699-00005118 はい、ということで今持ってきたんですけど、これよくYouTubeとかでも使われるんですけど、
AVwvxPNSuTy-00013-00005119-00005199 というあの
AVwvxPNSuTy-00014-00005200-00005918 ハーフシートケーキ一応ねこれケーキだけで3.7キロぐらいあるらしいんですよね
AVwvxPNSuTy-00015-00005919-00006254 僕、知ってる通り甘いものは苦手なので
AVwvxPNSuTy-00017-00006386-00006751 今日はかけてみたいっていう欲望を叶える動画です
AVwvxPNSuTy-00018-00006752-00007183 もしねこれ残ったとしても冷凍とか保存ができるみたいなんで今日はね
AVwvxPNSuTy-00019-00007184-00007627 寝るだけ食べて大満足をしようかと思っております
AVwvxPNSuTy-00020-00007628-00008002 ただ絶対に甘いのだけだと辛いので
AVwvxPNSuTy-00021-00008003-00008384 ケンタッキーとかも用意してあるんでこういったねしょっぱいものも
AVwvxPNSuTy-00022-00008385-00009074 合わせて食べて楽しんでいこうと思いますでは早速いただきます
AVwvxPNSuTy-00023-00009075-00009509 ちょっと最初からねデザートっていうのもあれなのでテンタッキーから食べよう
AVwvxPNSuTy-00024-00009510-00009724 まずこっちからね
AVwvxPNSuTy-00025-00009725-00010057 ケンタッキー久々に食べるなこれはい
AVwvxPNSuTy-00026-00010058-00010354 ケンタッキーでございます
AVwvxPNSuTy-00027-00010355-00010444 久々に食べる
AVwvxPNSuTy-00030-00011184-00011378 世界のケンタッキーはうまい。
AVwvxPNSuTy-00032-00011658-00011955 久々に食うとうめえ
AVwvxPNSuTy-00033-00011956-00012216 じゃあちょっとね続いてケーキを
AVwvxPNSuTy-00034-00012217-00012586 カットよっピーカー
AVwvxPNSuTy-00035-00012587-00013009 でかくてか分厚いよこれ層がやばい
AVwvxPNSuTy-00036-00013010-00013243 見てこれ、でかない?
AVwvxPNSuTy-00042-00014541-00015040 めっちゃうまいけどめっちゃ重いこれ
AVwvxPNSuTy-00044-00016152-00016697 なんかこれってネットで見たけどバタークリームみたいなんですけど重さがね
AVwvxPNSuTy-00045-00016698-00016802 ほんまじゃないよ
AVwvxPNSuTy-00046-00016803-00017098 ケーキっていうよりか洋菓子
AVwvxPNSuTy-00047-00017099-00017364 これも洋菓子なんですけど
AVwvxPNSuTy-00049-00017536-00017807 なんて言ってらっしゃるんだろうな
AVwvxPNSuTy-00051-00018272-00018754 生地も柔らかいティーって言ったよりかは重量感のあるカステラ
AVwvxPNSuTy-00054-00019372-00019624 定期かどうかで打ったら難しい
AVwvxPNSuTy-00056-00020229-00020392 これはね
AVwvxPNSuTy-00057-00020393-00020822 1回で全部はきついわ
AVwvxPNSuTy-00059-00021052-00021184 飲み物だ
AVwvxPNSuTy-00062-00022275-00022550 麦茶うま
AVwvxPNSuTy-00063-00022551-00022852 結構クリームも固めですし
AVwvxPNSuTy-00064-00022853-00023078 なぷーたりんだろう
AVwvxPNSuTy-00065-00023079-00023174 難しいなぁ
AVwvxPNSuTy-00067-00023534-00024076 間違いなく僕が知ってるケーキではないですね
AVwvxPNSuTy-00071-00024893-00025042 しょっぱいの食べたい
AVwvxPNSuTy-00073-00025772-00026435 まっ
AVwvxPNSuTy-00075-00026598-00026856 もうちょっときついかも
AVwvxPNSuTy-00077-00027260-00027423 せめて半分は食べたい
AVwvxPNSuTy-00081-00028212-00028692 これギッツ
AVwvxPNSuTy-00082-00028693-00029219 なんかこの味ザアメリカみたいな感じがする
AVwvxPNSuTy-00083-00029220-00029322 すごい
AVwvxPNSuTy-00085-00029452-00029882 これやばいね
AVwvxPNSuTy-00086-00029883-00030485 何度かさ今までこのコストコのケーキ食べてきましたけどこれ一番重いかもしれない
AVwvxPNSuTy-00087-00030486-00030991 一番重いよこれ
AVwvxPNSuTy-00088-00030992-00031408 クリームもそうですけどスポンジがすごい
AVwvxPNSuTy-00089-00031408-00031569 3つの金子
AVwvxPNSuTy-00091-00032070-00032462 見えるかな生地? これ完全にこれ
AVwvxPNSuTy-00092-00032463-00032725 カステラです
AVwvxPNSuTy-00097-00033565-00033834 今こうやって見ると
AVwvxPNSuTy-00098-00033835-00034087 3分の1?違う
AVwvxPNSuTy-00100-00034304-00034663 ぐらい?1kg食ってない感じ?もしかして
AVwvxPNSuTy-00104-00035321-00035815 すごいねこれこれこれすごいね
AVwvxPNSuTy-00106-00036021-00036249 思ってたよりも
AVwvxPNSuTy-00108-00037184-00037659 お腹は全然いっぱいじゃないんですけどいかない
AVwvxPNSuTy-00109-00037660-00037842 あんなだろう不思議
AVwvxPNSuTy-00111-00038533-00038891 今やっと3分の1ぐらいですね
AVwvxPNSuTy-00112-00038892-00039070 1キロちょっとぐらい
AVwvxPNSuTy-00113-00039071-00039489 すごい!すごいね!すごいよ!
AVwvxPNSuTy-00117-00040594-00040789 コストコさんでさ
AVwvxPNSuTy-00118-00040790-00041199 全部大きいじゃないですか我が家もたまにお買い物行ったりはするん
AVwvxPNSuTy-00119-00041200-00041274 ですけど
AVwvxPNSuTy-00120-00041275-00041743 日本にない食材とかがね、いっぱいありすぎて、楽しくて、追加しすぎちゃうの。
AVwvxPNSuTy-00121-00041744-00042349 でも普段はね別に僕も撮影してなければそんなにこう食べさえないので何を買ってもねこう
AVwvxPNSuTy-00122-00042350-00042791 1回じゃ絶対食べきれないんですよ何回も食べるんだけどでも
AVwvxPNSuTy-00123-00042792-00043376 普通の他のお客さんとか見てるとカートがめちゃめちゃでかいのにそこにいっぱい
AVwvxPNSuTy-00124-00043377-00043454 たりするの
AVwvxPNSuTy-00125-00043455-00043903 それ見てどうやって保存してるのかなってめっちゃ気になるんですよねあれ
AVwvxPNSuTy-00126-00043904-00044374 絶対入らないよねあれまあ食品以外はもともいっぱいあるんで
AVwvxPNSuTy-00127-00044375-00044803 いろんなものも入ってるんでしょうけど職員が大半の人も結構いるんで
AVwvxPNSuTy-00128-00044804-00045313 一時的にそれを全部保管しておく冷蔵庫あるのすげーなと思って家庭用じゃったら
AVwvxPNSuTy-00129-00045314-00045559 くらいみんな詰めておいていいけどね
AVwvxPNSuTy-00132-00045880-00046148 一つ食べよう
AVwvxPNSuTy-00133-00046149-00046299 スイスタ
AVwvxPNSuTy-00135-00046471-00046716 こんな感じツイスター
AVwvxPNSuTy-00139-00049316-00049999 満足感がすごいよ俺
AVwvxPNSuTy-00141-00050128-00050604 別のツイスターもてりやきのツイスターですねこれ
AVwvxPNSuTy-00142-00050605-00050909 定益の中はこんな感じですね。
AVwvxPNSuTy-00145-00052275-00052491 シンプルにうまい
AVwvxPNSuTy-00147-00052963-00053376 ラーメン作ってこよう
AVwvxPNSuTy-00148-00053377-00053676 ラーメンでございます
AVwvxPNSuTy-00156-00056046-00056480 インスタントですけどちゃんと煮干しの味しますねうまい
AVwvxPNSuTy-00160-00057083-00057879 みんなの言いたいことはわかってます。ケーキ食べますよ。
AVwvxPNSuTy-00164-00058584-00059198 いいねこのカップラーメン玉ねぎが付いてるな結構煮干しって香りが強い食材なので
AVwvxPNSuTy-00165-00059199-00059615 生玉ねぎとかトッピングされてるお店も結構多くてこのねいぶきさんも
AVwvxPNSuTy-00166-00059616-00059933 写真載ってるんだけど玉ねぎがね載ってるんですけど
AVwvxPNSuTy-00167-00059934-00060278 さすがにちょっとインスタントなんでね生玉ねぎではないんですけど
AVwvxPNSuTy-00168-00060279-00060585 火の通ったね甘い玉ねぎになっててこれがね
AVwvxPNSuTy-00169-00060586-00061013 口にふって入るといいアクセントになってるめっちゃ美味しい
AVwvxPNSuTy-00170-00061014-00061469 またさ ちょっと食べた後で申し訳ないんですけど飲み干した後にさ
AVwvxPNSuTy-00171-00061470-00061991 煮干しの粉が残るのがなんか嬉しいですよね
AVwvxPNSuTy-00173-00062086-00062729 いやもうね皆さんもお気づきかと思いますがここが美味しく食べられる限界でございます
AVwvxPNSuTy-00175-00062855-00063407 お腹の空き具合的に無理してるわけじゃないんですけどかなりね味が重たいんで
AVwvxPNSuTy-00176-00063408-00063916 これ以上は無理して食べるようになっちゃうんで今日はこの辺りでケーキをやめる
AVwvxPNSuTy-00177-00063917-00063974 ます
AVwvxPNSuTy-00178-00063975-00064445 ご覧の通りね半分ぐらいまだケーキがありましてこれからねちょっと切り分けて
AVwvxPNSuTy-00179-00064446-00064784 小分けにしてデータ保存をしていこうと思うんですけど
AVwvxPNSuTy-00180-00064785-00064854 しばらくと
AVwvxPNSuTy-00181-00064854-00065279 ちょこちょこちょこちょこ食べ進めてる感じになると思うんでぜひねこのコスト
AVwvxPNSuTy-00182-00065280-00065369 ご視聴ありがとうございました
AVwvxPNSuTy-00183-00065370-00065742 これを冷凍保存した後に美味しく食べられる
AVwvxPNSuTy-00184-00065743-00066249 アレンジレシピを教えてくださいということで本日もご視聴ありがとうございました
AVwvxPNSuTy-00185-00066250-00067007 この動画が良かったと思ったら、チャンネル登録、コメント、高評価お願いします。じゃあね。
AqywF4qTZCA-00002-00000336-00000556 虫捕る時と一緒や
AqywF4qTZCA-00012-00004368-00004888 何が見えるの?
AqywF4qTZCA-00014-00005160-00005602 私はだったん
AqywF4qTZCA-00019-00006865-00007217 いいできたよ。一人でできたよ。
AqywF4qTZCA-00022-00008147-00010268 はい、すいません。
AqywF4qTZCA-00025-00011342-00012688 道は悪いね。
AqywF4qTZCA-00031-00014628-00015001 ご視聴ありがとうございました
AqywF4qTZCA-00033-00015610-00017465 ご視聴ありがとうございました
AqywF4qTZCA-00035-00018270-00018631 相当アピールやなし
AqywF4qTZCA-00038-00018923-00019433 いいってお花に行って
AqywF4qTZCA-00039-00019434-00019870 お父さん食べてみて
AqywF4qTZCA-00041-00020351-00020536 なさそう
AqywF4qTZCA-00042-00020537-00020621 何でそう
AqywF4qTZCA-00045-00021462-00021797 だめだね、難しいよ川沢
AqywF4qTZCA-00046-00021798-00022325 なんか手もじもじもじもじしてるんやけど
AqywF4qTZCA-00047-00022326-00022775 ねえ、みんな、そこもいい。あららららら。
AqywF4qTZCA-00048-00022776-00022997 なんかずっと手をもじもじして
AqywF4qTZCA-00050-00023016-00023628 実際、日本語会場は何で技術ができるんや?
AqywF4qTZCA-00051-00023629-00023944 あれ?あの子くるくるくるくる
AqywF4qTZCA-00054-00025151-00025351 いただきます
AqywF4qTZCA-00056-00026695-00026968 なんかちょっと気持ちよさそうじゃないあの子も
AqywF4qTZCA-00059-00028038-00028105 またいい
AqywF4qTZCA-00061-00028380-00029000 どの子は触られるのに慣れてるね
AqywF4qTZCA-00064-00030210-00030395 やって
AqywF4qTZCA-00065-00030395-00031177 触ってほしそうじゃない?やめてよ。突っつかれるかな?やめてよ。
AqywF4qTZCA-00066-00031177-00031601 グイちゃんいつも自分で噛んどるぐらいで大丈夫
AqywF4qTZCA-00067-00031602-00031943 やっぱり噛まれるね
AqywF4qTZCA-00069-00032124-00032477 ゴールドペンギンやったっけ?
AqywF4qTZCA-00074-00033488-00033865 さっき餌あげたの覚えてる?
AqywF4qTZCA-00075-00033866-00034207 こういう顔になっておるよねえみゆくんとん
AqywF4qTZCA-00076-00034208-00035431 こいつ独占ゲットなんか泣いてる?なんか泣いてるよねえ、これそう?めっちゃ悩みるよね、最後みたいに
AqywF4qTZCA-00077-00035432-00035702 そんな音がする
AqywF4qTZCA-00078-00035703-00036109 んんんんんんんんんんんんんんんんんんんんんんんんんんんんんんんんんんんんんんんんんんんんんんんんんんんんんんんんんんんんんんんんんんんんんんんんんんんんんんんんんんんんんんんんんんんんんんんんんんんんんんんんんんんんんんんんんんんんんんんんんんんんんんんんんんんんんんんんんんんんんんんんんんんんんんんんんんんんんんんんんんんんんんんんんんんんんんんんんんんんんんんんんんんんんんんんんんんんんんんんんんんんんんんんんんんんんんんんんんんんんんんんんんんんんんんんんんんんんんんんんんんんんんんんんんんんんんんんんんんんんんんんんんんんんんんんんんんんんんんんんんんんんんんんんんんんんんんんんんんんんんんんんんんんんんんんんんんんんんんんんんんんんんんんんんんんんんんんんんんんんんんんんんんんんんんんんんんんんんんんんんんんんんんんんんんんんんんんんんんんんんんんんんんんんんんんんんんんんんんんんんんんんんんんんんんんんんんんんんんんんんんんんんんんんんんんんんんんんんんんんんんん
AqywF4qTZCA-00081-00036410-00037042 はい鳥の中君行きますバイバイ
AqywF4qTZCA-00085-00037446-00037823 キロた あっ
AqywF4qTZCA-00086-00037824-00038045 食べてて完璧だってずっと顔を
AqywF4qTZCA-00087-00038046-00038285 してるのとしては いんどいのです お餌与えてるとき
AqywF4qTZCA-00089-00038610-00038861 答えずっとお願いします
AqywF4qTZCA-00093-00039752-00040024 はい、いずれでもあります。
AqywF4qTZCA-00094-00040025-00041045 あとね連絡いいよはいはいはいはいはいはいはいはいはいはいはいはいはいはいはいはいはいはいはいはいはいはいはいはいはいはいはいはいはいはいはいはいはいはいはいはいはいはいはいはいはいはいはいはいはいはいはいはいはいはいはいはいはいはいはいはいはいはいはいはいはいはいはいはいはいはいはいはいはいはいはいはいはいはいはいはいはいはいはいはいはいはいはいはいはいはいはいはいはいはいはいはいはいはいはいはいはいはいはいはいはいはいはいはいはいはいはいはいはいはいはいはいはいはいはいはいはいはいはいはいはいはいはいはいはいはいはいはいはいはいはいはいはいはいはいはいはいはいはいはいはいはいはいはいはいはいはいはいはいはいはいはいはいはいはいはいはいはいはいはいはいはいはいはいはいはいはいはいはいはいはいはいはいはいはいはいはいはいはいはいはいはいはいはいはいはいはいはいはいはいはいはいはいはいはいはいはいはいはいはいはいはいはいはいはいはいはいはいはいはいはいはいはいはいはいはいはいはいはいはいはいはいはいはいはいはいはいはいはいはいはいはいはいはいはいはいはいはいはいはいはいはいはいはいはいはいはいはいはいはいはいはいはいはいはいはいはいはいはいはいはいはいはいはいはいはいはいはいはいはいはいはいはいはいはいはいはいはいはいはいはいはいはいはいはいはいはいはいはいはいはいはいはいはいはいはいはいはいはいはいはいはいはいはいはいはいはいはいはいはいはいはいはいはいはいはいはいはいはいはいはいはいはいはいはいはいはいはいはいはいはいはいはいはいはいはいはいはいはいはいはいはいはいはいはいはいはいはいはいはいはいはいはいはいはいはいはいはいはいはいはいはいはいはいはいはいはいはいはいはいはいはいはいはいはいはいはいはいはいはいはいはいはいはいはいはいはいはいはいはいはいはいはいはいはいはいはいはいはいはいはいはいはいはいはいはいはいはいはいはいはいはいはいはいはいはいはいはいはいはいはいはいはいはいはいはいはいはいはいはいはいはいはいはいはいはいはい
AqywF4qTZCA-00097-00041958-00042549 バイバイ
AqywF4qTZCA-00098-00042550-00043127 はいどうぞおーとめたにありがとうございます
AqywF4qTZCA-00100-00043381-00044863 ワンハム家族
AqywF4qTZCA-00101-00044864-00045925 はい
AqywF4qTZCA-00104-00046640-00047201 - 死ぬ? - 死ぬ?- 死ぬ?- 死ぬ?- 死ぬ?- 死ぬ?- 死ぬ?- 死ぬ?- 死ぬ?- 死ぬ?- 死ぬ?- 死ぬ?- 死ぬ?- 死ぬ?- 死ぬ?- 死ぬ?- 死ぬ?- 死ぬ?- 死ぬ?- 死ぬ?- 死ぬ?- 死ぬ?- 死ぬ?- 死ぬ?- 死ぬ?- 死ぬ?- 死ぬ?- 死ぬ?- 死ぬ?- 死ぬ?- 死ぬ?- 死ぬ?- 死ぬ?- 死ぬ?- 死ぬ?- 死ぬ?- 死ぬ?- 死ぬ?- 死ぬ?- 死ぬ?- 死ぬ?- 死ぬ?- 死ぬ?- 死ぬ?- 死ぬ?- 死ぬ?- 死ぬ?- 死ぬ?- 死ぬ?- 死ぬ?- 死ぬ?- 死ぬ?- 死ぬ?- 死ぬ?- 死ぬ?- 死ぬ?- 死ぬ?- 死ぬ?- 死ぬ?- 死ぬ?- 死ぬ?- 死ぬ?- 死ぬ?- 死ぬ?- 死ぬ?- 死ぬ?- 死ぬ?- 死ぬ?- 死ぬ?- 死ぬ?- 死ぬ?- 死ぬ? 死ぬ? 死ぬ? 
AqywF4qTZCA-00106-00047363-00047987 言えないように早く入ればそういうじゃないこのたらじゃろ
AqywF4qTZCA-00116-00050237-00050455 かわいい
AqywF4qTZCA-00117-00050456-00051017 あ、そうなの?食べ物でね?
AqywF4qTZCA-00118-00051018-00051419 塗るかもしれん
AqywF4qTZCA-00119-00051420-00051586 もうちょっと高かったら
AqywF4qTZCA-00122-00052314-00052523 見て可愛いよ
AqywF4qTZCA-00125-00052920-00053147 大きい髪を
AqywF4qTZCA-00127-00053322-00053591 結構近いよ
AqywF4qTZCA-00129-00053682-00054475 あらららら かわいい
AqywF4qTZCA-00135-00055579-00056219 あ、一緒やない?
AqywF4qTZCA-00139-00058136-00058525 あっ そう 危なすぎるね危ないのじゃ 寝てたら
AqywF4qTZCA-00140-00058526-00058900 え、マジで?ポケモンじゃなくて?
AqywF4qTZCA-00142-00059586-00059873 ねえぐーちゃん見てこの葉っぱうちのゴム
AqywF4qTZCA-00144-00060191-00060815 何が寝とる?
AqywF4qTZCA-00146-00061164-00061403 おじいちゃんやもんねきっとね
AqywF4qTZCA-00150-00062238-00062992 かわいいこの鳥顔
AqywF4qTZCA-00151-00062994-00063376 顔がめちゃめちゃ可愛い
AqywF4qTZCA-00152-00063377-00063935 もうてっしゃいなぁ可愛いな
AqywF4qTZCA-00153-00063936-00064294 てか鼻にけがってとこ
AqywF4qTZCA-00154-00064295-00065412 ずっと書いてるね
AqywF4qTZCA-00156-00065627-00065766 この子も模様が
AqywF4qTZCA-00158-00065982-00066120 おもしろー
AqywF4qTZCA-00162-00066805-00068598 もうパパやね
AqywF4qTZCA-00163-00068599-00069296 ねえ近くで見るとめちゃくちゃいい
AqywF4qTZCA-00165-00070020-00071980 お前好きやらばプレイ
AqywF4qTZCA-00166-00071981-00072844 ご視聴ありがとうございました
AqywF4qTZCA-00167-00072845-00073013 言葉になって書いてあるけど
AqywF4qTZCA-00168-00073014-00073127 ダメとは書いてない
AqywF4qTZCA-00174-00074633-00074729 うるさいだな
AqywF4qTZCA-00177-00075542-00075773 はい2人のお楽しみ
AqywF4qTZCA-00184-00077648-00077981 かわいいのがいっぱいじゃねぇ何だったんだ見て
AqywF4qTZCA-00186-00078092-00078371 パンダの
AqywF4qTZCA-00191-00078983-00079276 今日呼ぶか
AqywF4qTZCA-00193-00079757-00080111 今日はあった3時半起きやけどなおばあかん
AqywF4qTZCA-00194-00080112-00080446 よーしかったよーありがとう
AqywF4qTZCA-00196-00080730-00080849 11日
AqywF4qTZCA-00197-00080850-00080976 新中
AqywF4qTZCA-00198-00080977-00081947 しばたりビデオ続きましたー
AqywF4qTZCA-00202-00083532-00083843 じゃあね、こんにちはお願いします。
AqywF4qTZCA-00205-00084260-00084623 なんかこうやってるところにねはい、こうやってるところにねはい、気持ちの
AqywF4qTZCA-00208-00086910-00087299 入ってきていい?
AqywF4qTZCA-00209-00087300-00087587 ありがとうございました。
AqywF4qTZCA-00210-00087588-00087850 かわいいよにぃ ありがとう
AqywF4qTZCA-00211-00087851-00088229 ありがとうございます
