UAHUKX7GH1U-00001-00000210-00000311 こんにちは、だつで
UAHUKX7GH1U-00051-00011339-00011741 もうやだわー君なんか見たことある俺
UAHUKX7GH1U-00052-00011742-00011987 めちゃめちゃ再現の高さし
UAHUKX7GH1U-00053-00011988-00012203 やってるけど
UAHUKX7GH1U-00054-00012204-00012413 俺さなんかあの
UAHUKX7GH1U-00055-00012414-00012605 黄色の鉄みたいになってるんだけど
UAHUKX7GH1U-00058-00013003-00013344 お、トイレだって
UAHUKX7GH1U-00060-00013590-00013775 いちごキスかと思って
UAHUKX7GH1U-00061-00013776-00014051 うわやばいやばいやばい
UAHUKX7GH1U-00063-00014268-00014566 えっ、え、え、ここここここ
UAHUKX7GH1U-00066-00014880-00015022 びっくりした
UAHUKX7GH1U-00068-00015097-00015408 ライトつけとくなこれもない
UAHUKX7GH1U-00070-00015756-00016121 ここだうわうわ
UAHUKX7GH1U-00073-00016631-00016805 なになになに?何が?
UAHUKX7GH1U-00074-00016806-00017008 何してんの?
UAHUKX7GH1U-00075-00017009-00017183 すごいですよ、本当にマジで
UAHUKX7GH1U-00076-00017184-00017405 あーどこ行くの?
UAHUKX7GH1U-00078-00017586-00017926 ジョンジーの人に死体ない?あれこれ。血ある。
UAHUKX7GH1U-00082-00018444-00018749 一口したんじゃないかな
UAHUKX7GH1U-00083-00018750-00019000 どっかわかんなくなった
UAHUKX7GH1U-00085-00019218-00019450 もうわかんないやもうマジで本当にわかんない
UAHUKX7GH1U-00086-00019451-00019607 いいんだけどマジで
UAHUKX7GH1U-00087-00019608-00019991 やめろよ
UAHUKX7GH1U-00090-00020214-00020422 やべ、セイフを落としたから
UAHUKX7GH1U-00094-00021251-00021479 あーびっくりしたなんだこれもう ラグいわ
UAHUKX7GH1U-00095-00021480-00021922 あああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああああIieiIieiieiieiieiieiieiieiieiieiieiieiieiieiieiieiieiieiieiieiieiieiieiieiieiieiieiieiieiieiieiieiieiieiieiieiieiieiieiieiieiieiieiieiieiieiieiieiieiieiieiieiieiieiieiieiieiieiieiieiieiieiieiieiieiie
UAHUKX7GH1U-00096-00021923-00022186 コインとすんのいいんじゃないマイク
UAHUKX7GH1U-00099-00022781-00022913 びっくりした
UAHUKX7GH1U-00100-00022914-00023217 しかもなんもないマジでちょい言っていいよ
UAHUKX7GH1U-00101-00023218-00023999 んじゃないふうにじゃあ最初にっっっっっっっっっっっっっっっっっっっっっっっっっっっっっっっっっっっっっっっっっっっっっっっっっっっっっっっっっっっっっっっっっっっっっっっっっっっっっっっっっっっっっっっっっっっっっっっっっっっっっっっっっっっっっっっっっっっっっっっっっっっっっっっっっっっっっっっっっっっっっっっっっっっっっっっっっっっっっっっっっっっっっっっっっっっっっっっっっっっっっっっっっっっっっっっっっっっっっっっっっっっっっっっっっっっっっっっっっっっっっっっっっっっっっっっっっっっっっっっっっっっっっっっっっっっっっっっっっっっっっっっっっっっっっっっっっっっっっっっっっっっっっっっっっっっっっっっっっっっっっっっっっっっっっっっっっっっっっっっっっっっっっっっっっっっっっっっっっっっっっっっっっっっっっっっっっっっっっっっっっっっっっっっっっっっっっっっっっっっっっっっっっっっっっっっっっっっっっっっでーーーーーーーーーーーーーーーーーーーーーーーーーーーーーーーーーーー
UAHUKX7GH1U-00102-00024000-00024125 見ようといる
UAHUKX7GH1U-00104-00024329-00024641 あの花子さん可愛くね
UAHUKX7GH1U-00105-00024642-00025055 こいつあれ最悪だマジで
UAHUKX7GH1U-00108-00025350-00025606 もうあなたのあなたはこの学校から出られ
UAHUKX7GH1U-00109-00025607-00025858 ただ一つ出られるとしたらあらこ
UAHUKX7GH1U-00110-00025860-00026052 さんの悪い思い出を消す必要がある
UAHUKX7GH1U-00111-00026054-00026231 やることは
UAHUKX7GH1U-00112-00026232-00026599 左に出て出て出て出てくるの
UAHUKX7GH1U-00113-00026600-00026917 で、それに、何これ、裏、言ってる
UAHUKX7GH1U-00116-00027150-00027346 僕に隠れた
UAHUKX7GH1U-00118-00027552-00027804 そんなこと書いてあった?いやだから
UAHUKX7GH1U-00124-00029504-00029837 いますけどいますいますいますいますいます
UAHUKX7GH1U-00125-00029838-00030077 いますよいますって
UAHUKX7GH1U-00126-00030077-00030560 サムネイルでちょっとはい
UAHUKX7GH1U-00128-00030710-00030973 ってことはあっちだね
UAHUKX7GH1U-00130-00031352-00031583 見た?お前、え?
UAHUKX7GH1U-00131-00031583-00031781 ブーツでも入ってる?
UAHUKX7GH1U-00133-00032250-00032573 小さい!なんでこっち来てないの?
UAHUKX7GH1U-00134-00032574-00032752 何が分かんないんだけど
UAHUKX7GH1U-00136-00032934-00033058 ガチで本当に
UAHUKX7GH1U-00137-00033059-00033277 どうだろう
UAHUKX7GH1U-00138-00033278-00033496 これだこれだ
UAHUKX7GH1U-00142-00034266-00034699 いたらだっていたなりたってしてるこれ あら消せる
UAHUKX7GH1U-00144-00034856-00035255 ハゲなんだ?出てみ?何出てみって?
UAHUKX7GH1U-00145-00035256-00035738 よっとしてみるこれなになにこれ出れる?え出れるんじゃないよ出れないよ
UAHUKX7GH1U-00147-00036156-00036467 左上に
UAHUKX7GH1U-00148-00036468-00036737 脇を探せだって知られた出てない出てない
UAHUKX7GH1U-00150-00036791-00037193 足跡
UAHUKX7GH1U-00151-00037194-00037361 に辿っていけばいいんじゃない
UAHUKX7GH1U-00152-00037362-00037559 られてるんだって
UAHUKX7GH1U-00153-00037560-00037733 ごみごみごみごみごみごみごみごみごみごみごみごみごみごみごみごみごみごみごみごみごみごみごみごみごみごみごみごみごみごみごみごみごみごみごみごみごみごみごみごみごみごみごみごみごみごみごみごみごみごみごみごみごみごみごみごみごみごみごみごみごみごみごみごみごみごみごみごみごみごみごみごみごみごみごみごみごみごみごみごみごみごみごみごみごみごみごみごみごみごみごみごみごみごみごみごみごみごみごみごみごみごみごみごみごみごみごみごみごみごみごみごみごみごみごみごみごみごみごみごみごみごみごみごみごみごみごみごみごみごみごみごみごみごみごみごみごみごみごみごみごみごみごみごみごみごみごみごみごみごみごみごみごみごみごみごみごみごみごみごみごみごみごみごみごみごみごみごみごみごみごみごみごみごみごみごみごみごみごみごみごみごみごみごみごみごみごみごみごみごみごみごみごみごみごみごみごみごみごみごみごみごみごみごみごみごみごみごみごみごみごみごみごみごみごみごみごみごみごみごみごみごみ
UAHUKX7GH1U-00155-00037844-00038057 やったやったやったやったこれこれこれこれこれ
UAHUKX7GH1U-00156-00038058-00038387 の上にある何て書いてある
UAHUKX7GH1U-00157-00038388-00038717 KMBにある花瓶だって
UAHUKX7GH1U-00158-00038718-00038911 旅を移動させるだって移動させる
UAHUKX7GH1U-00159-00038912-00039355 これコップかどの壁?あ、人動いてるめっちゃ動いてます
UAHUKX7GH1U-00160-00039356-00039580 なんだこいつ
UAHUKX7GH1U-00161-00039581-00039839 あったよ
UAHUKX7GH1U-00164-00040325-00040655 どかすって何だ?
UAHUKX7GH1U-00165-00040656-00040973 皆さん今日は絵を描いてみました
UAHUKX7GH1U-00166-00040974-00041230 行ってきましたよってここでやってるんだろう
UAHUKX7GH1U-00168-00041622-00041879 何してるの?僕じゃない
UAHUKX7GH1U-00169-00041880-00042352 こっちじゃないこっちじゃないを押された セットればこうされてんだどれかこ
UAHUKX7GH1U-00170-00042353-00042796 あれ?あなたトイレ我慢してます?えぇ、びっくりした
UAHUKX7GH1U-00172-00042941-00043289 我慢してます?
UAHUKX7GH1U-00173-00043290-00043451 エグイイな
UAHUKX7GH1U-00174-00043452-00044202 えこれいつかゴーンゴーンってなる最悪だなんて見てないんだよえ絶対これいつかゴーン
UAHUKX7GH1U-00175-00044203-00044683 ゴーンってなるかなと思ってたあったあったこれだこれ
UAHUKX7GH1U-00176-00044684-00044893 かわいそう
UAHUKX7GH1U-00177-00044894-00045187 お、何?
UAHUKX7GH1U-00178-00045188-00045496 最悪だマジで濡らされた教科書を探す
UAHUKX7GH1U-00179-00045497-00045802 あるあるあるあるあるこれです
UAHUKX7GH1U-00180-00045803-00046217 一緒に一緒に見るためにお聞き
UAHUKX7GH1U-00181-00046218-00046462 なんか後ろ見ますなんでそんなめっちゃ
UAHUKX7GH1U-00182-00046463-00046795 おう
UAHUKX7GH1U-00184-00046994-00047321 大丈夫?
UAHUKX7GH1U-00185-00047322-00047651 よくないちょっと待って
UAHUKX7GH1U-00186-00047652-00047830 BGMのちょっと設定するかしら
UAHUKX7GH1U-00188-00047891-00048040 めっちゃ気付きだった
UAHUKX7GH1U-00190-00048341-00048629 なんか急に花子さん現れたあーやめてー
UAHUKX7GH1U-00191-00048630-00048827 まじびっくりした
UAHUKX7GH1U-00193-00048906-00049115 上に書いた後
UAHUKX7GH1U-00194-00049116-00049283 止めろって何で?止めることないよ
UAHUKX7GH1U-00195-00049284-00049517 それは人が引いてるんだからさあーもうやっぱね
UAHUKX7GH1U-00196-00049518-00049930 あー何ここです女と一緒
UAHUKX7GH1U-00199-00050297-00050543 参加した瞬間、花子さんパン!
UAHUKX7GH1U-00201-00050880-00051156 うるさうるさ!います!そこに!
UAHUKX7GH1U-00204-00051341-00051646 でも、あ、消えちゃった
UAHUKX7GH1U-00205-00051647-00051929 のモップをどかしてだってって書いてある
UAHUKX7GH1U-00207-00052217-00052463 かわいそう
UAHUKX7GH1U-00208-00052464-00052991 うわー、こうやって痛い。はー、なんか。じゃないよ。いいいい、怖い怖い怖い。なんだなんだ。うわ。
UAHUKX7GH1U-00211-00053208-00053544 足しかないやん足しかない
UAHUKX7GH1U-00212-00053545-00053771 いや、明日しかなかった。
UAHUKX7GH1U-00214-00054005-00054511 何してんだよマジで
UAHUKX7GH1U-00215-00054512-00054821 あ、います!います!います!
UAHUKX7GH1U-00216-00054822-00054902 すいません
UAHUKX7GH1U-00218-00055416-00055825 なんて技だ
UAHUKX7GH1U-00219-00055826-00056230 何がつて!
UAHUKX7GH1U-00220-00056232-00056332 びっくりした
UAHUKX7GH1U-00221-00056333-00056507 クリスタル後ろにいるよってことを思ったら
UAHUKX7GH1U-00223-00056712-00057059 お前、先入ってたら心配したんだぞ。
UAHUKX7GH1U-00225-00057227-00057466 あーびっくりした
UAHUKX7GH1U-00226-00057467-00057564 思った
UAHUKX7GH1U-00227-00057565-00057965 もっと
UAHUKX7GH1U-00228-00057966-00058288 だってクリエイタースポーツって言う人って
UAHUKX7GH1U-00230-00058386-00058594 しました
UAHUKX7GH1U-00231-00058595-00058750 以上進めました
UAHUKX7GH1U-00232-00058751-00059159 あ、ちょっとびっくりした
UAHUKX7GH1U-00233-00059160-00059579 なんかもういろいろ怖いわなにこれ怖っ
UAHUKX7GH1U-00234-00059579-00059903 ただ怖っなんかねおかしいんだよ
UAHUKX7GH1U-00235-00059904-00060029 なんか
UAHUKX7GH1U-00236-00060029-00060304 の声でビックリしたとかさそういうこと言う
UAHUKX7GH1U-00238-00060408-00060754 いうことでびっくりした
URTTGpUU5ck-00001-00001300-00001543 皆さんこんにちは
URTTGpUU5ck-00002-00001544-00001743 NGO世界を見つめて司会進行
URTTGpUU5ck-00003-00001744-00001954 お勤めます ダイアログ4ピープル
URTTGpUU5ck-00004-00001955-00002140 理事フォトジャーナリストの佐藤圭林
URTTGpUU5ck-00005-00002141-00002440 そしてご一緒くださるのが
URTTGpUU5ck-00006-00002441-00002667 よろしくお願いします
URTTGpUU5ck-00007-00002668-00002984 鎌倉 佐志子です皆様どうぞよろしくお願いします
URTTGpUU5ck-00008-00002985-00003239 よろしくお願いしますよろしくお願いします
URTTGpUU5ck-00009-00003240-00003503 前回はねあの鎌倉さんにあの実はゲストと
URTTGpUU5ck-00010-00003504-00003770 という形でご出演いただいて
URTTGpUU5ck-00011-00003771-00004127 そうなんですリアルな現場を伝えていただき
URTTGpUU5ck-00012-00004128-00004370 今回はまた進行が割り戻ってきて
URTTGpUU5ck-00013-00004371-00004604 いただきありがとうございます
URTTGpUU5ck-00014-00004605-00004886 こちらこそよろしくお願いします
URTTGpUU5ck-00015-00004887-00005088 世界ではなかなか新型コロナウイルスの
URTTGpUU5ck-00016-00005089-00005406 ウイルスの感染拡大も収まらないですし今はあの
URTTGpUU5ck-00017-00005407-00005670 本当に様々なことが続いている
URTTGpUU5ck-00018-00005671-00005949 いく中でNGOの果たす役割として
URTTGpUU5ck-00019-00005950-00006216 ものがますます重要性を強めてきて
URTTGpUU5ck-00020-00006217-00006459 しているのではないのかなと感じております
URTTGpUU5ck-00021-00006459-00006684 このNGO世界を見つめてでは今回
URTTGpUU5ck-00022-00006684-00006923 11回目ということで
URTTGpUU5ck-00023-00006925-00007173 そのG1団体名ということになりますよね
URTTGpUU5ck-00024-00007175-00007398 それぞれ本当あの個性のある活動を続け
URTTGpUU5ck-00025-00007400-00007558 らっしゃいますけれども それぞれの
URTTGpUU5ck-00026-00007559-00007795 出動の意義などをまた今回も深く伺って
URTTGpUU5ck-00027-00007795-00008026 いけたらなと思っていますよろしくお願いします
URTTGpUU5ck-00028-00008027-00008251 よろしくお願いします
URTTGpUU5ck-00029-00008252-00008478 はいそれでは早速ですが本日のテストを
URTTGpUU5ck-00030-00008479-00008752 ご紹介いたします本日のテストは
URTTGpUU5ck-00031-00008753-00008970 NPO法人アドラジャパン広報
URTTGpUU5ck-00032-00008971-00009213 マーケティング担当の永井敦子さんです
URTTGpUU5ck-00033-00009214-00009481 よろしくお願いします
URTTGpUU5ck-00034-00009482-00009771 はい 本日はよろしくお願いいたします
URTTGpUU5ck-00035-00009772-00010056 よろしくお願いいたします。それでは、早速
URTTGpUU5ck-00036-00010057-00010406 なんですけれどもこのアドラジャパンさんの
URTTGpUU5ck-00037-00010407-00010679 経緯であったり活動理念事業の内容など
URTTGpUU5ck-00038-00010680-00010934 についてご説明いただけたらと思います
URTTGpUU5ck-00039-00010935-00011195 初めてアドラさんのお名前を聞かれた方
URTTGpUU5ck-00040-00011196-00011417 もいらっしゃると思いますので今回は
URTTGpUU5ck-00041-00011418-00011582 PowerPointも用意してきていただいて
URTTGpUU5ck-00042-00011583-00011768 いるということですので そちら を
URTTGpUU5ck-00043-00011769-00011972 いただきながらよろしくお願いいたします
URTTGpUU5ck-00044-00011973-00012255 よろしくお願いいたします。
URTTGpUU5ck-00045-00012256-00012534 アドラジャパンについて簡単にご説明します
URTTGpUU5ck-00046-00012535-00012887 いきますまずアドラというのは正式には
URTTGpUU5ck-00048-00013081-00013305 and Relief Agencyの役を
URTTGpUU5ck-00049-00013306-00013527 となっていてこの4つの単語の頭文字
URTTGpUU5ck-00050-00013528-00013785 合わせてアドラというふうに言っています
URTTGpUU5ck-00051-00013786-00014013 アドラのA アドベンチストというのは
URTTGpUU5ck-00052-00014013-00014287 キリスト教の一派でアドラの設立母体
URTTGpUU5ck-00053-00014288-00014611 表していますで d は開発 r
URTTGpUU5ck-00054-00014612-00014851 リリーフで最後の a はエージェンシーラン
URTTGpUU5ck-00055-00014852-00015169 ということで開発支援と緊急支援両方
URTTGpUU5ck-00056-00015169-00015451 行う団体であるということを表した名前になります
URTTGpUU5ck-00057-00015452-00015661 なっております
URTTGpUU5ck-00058-00015662-00016093 活動の原点は1918年第一次世界大戦後
URTTGpUU5ck-00059-00016094-00016422 このヨーロッパの国々において
URTTGpUU5ck-00060-00016423-00016627 アドベンチスの牧師さんたちが
URTTGpUU5ck-00061-00016628-00017008 他の協会と協力をして支援物資の配布
URTTGpUU5ck-00062-00017009-00017338 ということがこの活動の原点であります
URTTGpUU5ck-00063-00017339-00017660 取り組みの始まりになります
URTTGpUU5ck-00064-00017661-00017903 ヨーロッパから中東でアジアにと広がる
URTTGpUU5ck-00065-00017904-00018281 って言って第二次世界大戦後の 日本にも
URTTGpUU5ck-00066-00018282-00018611 現在の数で約10億円ほどの支援が届いております
URTTGpUU5ck-00067-00018612-00018902 います 活動団体の名前がアドラっていうふう
URTTGpUU5ck-00068-00018903-00019193 になったのは1983年のことなので
URTTGpUU5ck-00069-00019194-00019553 けれども 日本もこの頃に海外からの支援を
URTTGpUU5ck-00070-00019554-00019794 を受けて戦後復興を遂げたということ で
URTTGpUU5ck-00071-00019795-00020085 今度は支援を届ける側に回ろうということで
URTTGpUU5ck-00072-00020086-00020250 アドラジャパンというのが実立されています。
URTTGpUU5ck-00073-00020251-00020597 1985年になります
URTTGpUU5ck-00074-00020598-00020765 アドラはですね
URTTGpUU5ck-00075-00020766-00021134 世界120カ国に支部がある世界最大の支部です
URTTGpUU5ck-00076-00021135-00021410 記号の国際NGOとなっております
URTTGpUU5ck-00077-00021411-00021659 アメリカのメリーランド州にありまして
URTTGpUU5ck-00078-00021660-00021908 地域ごとの統括支部っていうのが世界に
URTTGpUU5ck-00079-00021909-00022301 9つありますその統括支部の下に支援
URTTGpUU5ck-00080-00022302-00022619 実施する支部と資金連携術面でサポート
URTTGpUU5ck-00081-00022620-00022859 しながら一緒に取り組むサポート支部
URTTGpUU5ck-00082-00022860-00023094 というのがありましてそれが合わせて
URTTGpUU5ck-00083-00023095-00023417 ぐらいあるという形になっています
URTTGpUU5ck-00084-00023418-00023658 例えば今回の場合ですね
URTTGpUU5ck-00085-00023659-00023880 ウクライナ危機もそうなんですけれども
URTTGpUU5ck-00086-00023881-00024192 すでに現地で活動している現地のアドラシア
URTTGpUU5ck-00087-00024193-00024611 との連携が前提になってきます ので
URTTGpUU5ck-00088-00024612-00025000 前提として活動をしております
URTTGpUU5ck-00089-00025001-00025258 すでにNGO登録をしているっていう
URTTGpUU5ck-00090-00025259-00025538 ことがあって活動を始めやすいというのと拠点があって
URTTGpUU5ck-00091-00025539-00025922 もうすでにオフィスがあったり移動の
URTTGpUU5ck-00092-00025923-00026183 車だったりそういったものがあったり
URTTGpUU5ck-00093-00026184-00026390 ご視聴ありがとうございました
URTTGpUU5ck-00094-00026391-00026690 スタッフがいるということで支援活動を迅速に
URTTGpUU5ck-00095-00026691-00026937 強く始めることができるというのが
URTTGpUU5ck-00096-00026938-00027236 アドラの強みの一つになっています
URTTGpUU5ck-00097-00027237-00027627 私たちアドラの活動のモットーは一つの
URTTGpUU5ck-00098-00027627-00027922 命から世界を変えるというものがありまして
URTTGpUU5ck-00099-00027923-00028156 支援活動を行っているとですね
URTTGpUU5ck-00100-00028157-00028330 ニュースでもそうなんですけれども
URTTGpUU5ck-00101-00028331-00028642 何千人何万人何百万人という数字に
URTTGpUU5ck-00102-00028643-00028852 そういうことが本当に多くなるんですけれども
URTTGpUU5ck-00103-00028852-00029176 その中には一人一人の大切な個人 がいる
URTTGpUU5ck-00104-00029177-00029425 いうことを忘れずにこの一つの命か
URTTGpUU5ck-00105-00029426-00029650 世界を変えるんだって思って人々に
URTTGpUU5ck-00106-00029651-00029839 現地のニーズに合わせたし
URTTGpUU5ck-00107-00029839-00030175 活動を行っている団体になります
URTTGpUU5ck-00108-00030176-00030418 活動の様子を少しまとめたビデオが
URTTGpUU5ck-00109-00030419-00030648 ありますのでそちらも少し
URTTGpUU5ck-00110-00030649-00031054 再生しながら具体的な活動内容を
URTTGpUU5ck-00111-00031055-00031455 簡単にご説明させていただければと思います
URTTGpUU5ck-00112-00031456-00031785 アドラの活動地域は自然災害の被災地
URTTGpUU5ck-00113-00031786-00032145 や紛争地 また開発途上国などです
URTTGpUU5ck-00114-00032146-00032514 子どもも人種宗教政治の区別なく支援活動
URTTGpUU5ck-00115-00032515-00032880 行っています活動の内容はその地域で
URTTGpUU5ck-00116-00032881-00033148 とされているものを地元の方々 と協力
URTTGpUU5ck-00117-00033149-00033420 しながら作り上げたり配布したり
URTTGpUU5ck-00118-00033421-00033629 地域にも出会えます
URTTGpUU5ck-00119-00033630-00033878 けれども大切にしているのは先ほど
URTTGpUU5ck-00120-00033879-00034127 お伝えした人一人に寄り添うことを
URTTGpUU5ck-00121-00034128-00034424 保険衛生だったり教育の分野整形工場が
URTTGpUU5ck-00122-00034425-00034535 研究支援など
URTTGpUU5ck-00123-00034536-00034835 正義と思いやりと愛と思って運動して
URTTGpUU5ck-00125-00035040-00035285 はいありがとうございました
URTTGpUU5ck-00126-00035286-00035607 活動の原点がですね1918年と今から
URTTGpUU5ck-00127-00035608-00035837 振り返っても100年以上も前ということ
URTTGpUU5ck-00128-00035838-00036077 そこから手にあげてきた
URTTGpUU5ck-00129-00036078-00036272 様々な知見であったりネットワークで
URTTGpUU5ck-00130-00036273-00036458 ものを生かした支援活動をされているんだ
URTTGpUU5ck-00131-00036459-00036644 ということがよく分かりました
URTTGpUU5ck-00132-00036645-00036842 またですね、アドラさんが大切にされて
URTTGpUU5ck-00133-00036843-00037129 一つの命という観点はですね 英会も発信している
URTTGpUU5ck-00134-00037130-00037327 をする中で非常に大切にしている ことなん
URTTGpUU5ck-00135-00037328-00037582 とても共感を覚えました
URTTGpUU5ck-00136-00037583-00037927 こうした様々な活動の中でもですね
URTTGpUU5ck-00137-00037928-00038212 本当に悪化の一途をたどっている人たち
URTTGpUU5ck-00139-00038471-00038674 ロシアの軍事侵攻によるウクライナなど
URTTGpUU5ck-00140-00038675-00039041 人道危機に対する緊急人道支援の内容に
URTTGpUU5ck-00141-00039042-00039272 ついてここから少し詳しくお伺い できた
URTTGpUU5ck-00142-00039273-00039389 なと思います
URTTGpUU5ck-00143-00039390-00039515 こちらもパワーポイントを
URTTGpUU5ck-00144-00039516-00039686 していただいているということですので
URTTGpUU5ck-00145-00039687-00039902 長井さんどうぞよろしくお願いいたします
URTTGpUU5ck-00146-00039903-00040178 はい、ありがとうございます。まず最初にですね
URTTGpUU5ck-00147-00040179-00040424 この場を借りてアドナのウクライナ市が
URTTGpUU5ck-00148-00040425-00040730 本当に多くの方に温かいご支援を
URTTGpUU5ck-00149-00040731-00040934 いただいております
URTTGpUU5ck-00150-00040935-00041114 まずお礼を申し上げたいと思います
URTTGpUU5ck-00151-00041115-00041332 ありがとうございます
URTTGpUU5ck-00152-00041333-00041537 私たちはアドラバですね
URTTGpUU5ck-00153-00041538-00041758 2月24日アトラチャパンとして
URTTGpUU5ck-00154-00041759-00042030 2月24日にこのウクライナ危機に
URTTGpUU5ck-00155-00042031-00042336 募金活動を開始することを決定して
URTTGpUU5ck-00156-00042337-00042708 本日から寄付を募っていますけれども
URTTGpUU5ck-00157-00042709-00042967 いろんなチャンネルを通して 現在まで
URTTGpUU5ck-00158-00042968-00043334 10万人を超える方が活動に賛同して
URTTGpUU5ck-00159-00043335-00043571 応援の声やお寄付をお寄せくださって
URTTGpUU5ck-00160-00043572-00043853 ここで使っている写真は
URTTGpUU5ck-00161-00043854-00044084 ウクライナ国内のリビューでの一コマは
URTTGpUU5ck-00162-00044085-00044387 左側のお母さんと子どもの写真はリビュー
URTTGpUU5ck-00163-00044388-00044783 からの写真です右側の男の子が
URTTGpUU5ck-00164-00044784-00044993 バトミントンして遊んでる写真っていうのも
URTTGpUU5ck-00165-00044994-00045287 プライナ国境スルバキアとの国境のところ
URTTGpUU5ck-00166-00045288-00045585 ところで支援活動しているところから
URTTGpUU5ck-00167-00045586-00045867 皆様からのご支援をよろしくお願いします
URTTGpUU5ck-00168-00045868-00046140 おかげで本当にまだまだ大変な状況のな
URTTGpUU5ck-00169-00046141-00046329 ではあるんですけれどもこういった絵が
URTTGpUU5ck-00170-00046330-00046560 見られる瞬間っていうのも
URTTGpUU5ck-00171-00046561-00046764 ができています本当にご支援のおかげ で
URTTGpUU5ck-00172-00046765-00046938 ありがとうございます
URTTGpUU5ck-00173-00046939-00047238 私たちアドラは人道支援として
URTTGpUU5ck-00174-00047239-00047658 ウクライナ国内そして周辺国さらに避難
URTTGpUU5ck-00175-00047659-00047928 されている方々の最終目的地となっている
URTTGpUU5ck-00176-00047929-00048132 第三国での支援っていうのを取り組んで
URTTGpUU5ck-00178-00048230-00048499 ウクライナ国内での活動は、
URTTGpUU5ck-00179-00048500-00048799 ウクライナ支部が中心になって
URTTGpUU5ck-00180-00048800-00049057 が深刻化したその日から支援活動 に動いています
URTTGpUU5ck-00181-00049058-00049171 おります
URTTGpUU5ck-00182-00049172-00049348 ウクライナ国内まだまだ危険
URTTGpUU5ck-00183-00049349-00049599 隣り合わせの中ではあるんですけれども
URTTGpUU5ck-00184-00049600-00049876 でも多くの方が各地でボランティアとして
URTTGpUU5ck-00185-00049877-00050071 どうしても関わってくださってる方が
URTTGpUU5ck-00186-00050072-00050410 現在までに国内では30ヵ所以上で
URTTGpUU5ck-00187-00050411-00050602 届けることができています
URTTGpUU5ck-00188-00050603-00050870 こういった迅速な活動展開が可能だった
URTTGpUU5ck-00189-00050871-00051214 理由の一つは今回の事象が起こる前に
URTTGpUU5ck-00190-00051215-00051427 だからアドラはウクライナで活動をしていく
URTTGpUU5ck-00191-00051428-00051592 ということがあります
URTTGpUU5ck-00192-00051594-00051804 アドラウクライナは
