CFWRJ0FZ1S8-00001-00001898-00002354 クヨクビシチョウ!イジジェデザイン!
CFWRJ0FZ1S8-00088-00025140-00025405 シャーベルは語彙力が低ぅ?
CFWRJ0FZ1S8-00089-00025406-00025719 力持つ存在には正義無が伴う
CFWRJ0FZ1S8-00090-00025720-00026077 俺にはそもそも無抵抗など許されない
CFWRJ0FZ1S8-00094-00026552-00026698 マルシマ!
CFWRJ0FZ1S8-00095-00026699-00026999 インド神話の大英雄じゃねえか
CFWRJ0FZ1S8-00096-00027000-00027383 遥か東方の神話に登場し無数の侵略者
CFWRJ0FZ1S8-00097-00027384-00027827 ブーブー
CFWRJ0FZ1S8-00098-00027828-00028061 おもちゃ
CFWRJ0FZ1S8-00099-00028062-00028280 いいなことを
CFWRJ0FZ1S8-00100-00028281-00028601 死はこれから流れるもの
CFWRJ0FZ1S8-00101-00028602-00029024 我が鮮血神殿に立ち入ったあなたたちの
CFWRJ0FZ1S8-00102-00029025-00029414 やめとけライダーの姉ちゃん俺の血は煮えた
CFWRJ0FZ1S8-00105-00029895-00030125 触れてください
CFWRJ0FZ1S8-00107-00030307-00030452 私もです
CFWRJ0FZ1S8-00108-00030454-00030667 偉大なるシャルル・マーニュ
CFWRJ0FZ1S8-00109-00030668-00030955 高貴なるフランクの王にして
CFWRJ0FZ1S8-00110-00030956-00031233 またまたその話はなしにしてくれ
CFWRJ0FZ1S8-00112-00031381-00031620 今の俺はただのサーヴァント
CFWRJ0FZ1S8-00113-00031620-00031806 ただの小僧だ
CFWRJ0FZ1S8-00114-00031807-00032118 むしろ俺の方があんたを先輩って呼ばなきゃ
CFWRJ0FZ1S8-00115-00032119-00032448 いけない立場でね
CFWRJ0FZ1S8-00116-00032449-00032629 わかりました
CFWRJ0FZ1S8-00117-00032630-00032868 オンミがそれをお望みなら
CFWRJ0FZ1S8-00119-00033206-00033611 まさに理想の騎士って感じだ
CFWRJ0FZ1S8-00120-00033612-00033759 いたな
CFWRJ0FZ1S8-00121-00033760-00034897 そこそこリッキーぞ。どこがどんやり石畑ベロのような。リッキーのカメロってどんなベロ?もういいか。とりあえずやろうべ、あれの。
CFWRJ0FZ1S8-00122-00034898-00035083 卵の何も
CFWRJ0FZ1S8-00124-00035182-00035315 だよな
CFWRJ0FZ1S8-00126-00035506-00035695 あれの先で
CFWRJ0FZ1S8-00127-00035696-00036035 その姉子っていうのやめてくれ
CFWRJ0FZ1S8-00128-00036036-00036346 年寄るイメージがついてしまうんですけど
CFWRJ0FZ1S8-00130-00036528-00036875 あんたかっこよかったぜ!わぁ、バカ!
CFWRJ0FZ1S8-00131-00036876-00037067 かっこいい仲間が来た
CFWRJ0FZ1S8-00132-00037068-00037361 円卓の騎士と無名の英雄
CFWRJ0FZ1S8-00133-00037362-00037702 いいなあ、実にいい!
CFWRJ0FZ1S8-00134-00037703-00037936 あんたはいつでもかっこよくあろうとする
CFWRJ0FZ1S8-00136-00038036-00038365 意識だろうけど、そりゃいいことだ
CFWRJ0FZ1S8-00137-00038366-00038658 一緒さ なあマスター
CFWRJ0FZ1S8-00138-00038659-00038981 いやとんでもないかんだな
CFWRJ0FZ1S8-00140-00039191-00039517 これで完全勝利してしまえば俺の勝利
CFWRJ0FZ1S8-00141-00039518-00039838 さもレベルアップするってもんだ
CFWRJ0FZ1S8-00143-00040004-00040129 少しだけ
CFWRJ0FZ1S8-00144-00040130-00040373 状況を理解してもらえないかね
CFWRJ0FZ1S8-00145-00040374-00040660 理解してるぞ
CFWRJ0FZ1S8-00146-00040661-00041070 お乳に言えばのないようの宮古
CFWRJ0FZ1S8-00148-00041362-00041699 戦争にタイに名分なんてまずないけどな
CFWRJ0FZ1S8-00149-00041700-00042062 非武装の市民を守るつのはすごく
CFWRJ0FZ1S8-00151-00042249-00042509 こっちがカブラクションがやばい
CFWRJ0FZ1S8-00152-00042510-00042755 これほどかっこいい騎士の戦場があるか
CFWRJ0FZ1S8-00154-00042867-00043154 分かっていればいい
CFWRJ0FZ1S8-00155-00043155-00043536 いいけど守り切ったってのはかっこ いいだろ
CFWRJ0FZ1S8-00156-00043537-00043721 どういうことだーちゃ
CFWRJ0FZ1S8-00157-00043722-00044064 新名はこちらにもアーチャーがいる
CFWRJ0FZ1S8-00158-00044065-00044380 はちょっと呼ばれた
CFWRJ0FZ1S8-00159-00044381-00044787 そんな天ぷらそばみたいな名前はちょっと
CFWRJ0FZ1S8-00160-00044788-00045162 私もキツネうどん呼ばわりは避けたいな
CFWRJ0FZ1S8-00161-00045163-00045549 難しい、まさか名高い騎士に思い出切るとは
CFWRJ0FZ1S8-00162-00045550-00045811 画面上に続いてこいつはかっ
CFWRJ0FZ1S8-00164-00045963-00046067 騎士?
CFWRJ0FZ1S8-00165-00046068-00046409 誰だ?ロビンフッドってのは騎士よ
CFWRJ0FZ1S8-00167-00046614-00046915 いいな
CFWRJ0FZ1S8-00169-00047026-00047232 あんたのところに集まってくるエイリアン
CFWRJ0FZ1S8-00170-00047233-00047529 かっこいいやつわかったっしょねえか
CFWRJ0FZ1S8-00171-00047530-00047832 きっとあんたがかっこいいからだと
CFWRJ0FZ1S8-00173-00048147-00048545 あれが伝説的に名高いケルトの光の御子かも
CFWRJ0FZ1S8-00174-00048546-00048833 太陽神ルーの子にしてアイルランドの大王を
CFWRJ0FZ1S8-00176-00048950-00049455 本当かの槍がマスオゲイボルグってわけだ
CFWRJ0FZ1S8-00177-00049456-00049666 なんだ、若いの。
CFWRJ0FZ1S8-00178-00049667-00050137 俺のファンか?俺のサプラインが終わったのに
CFWRJ0FZ1S8-00179-00050138-00051051 おい
CFWRJ0FZ1S8-00181-00051352-00051717 大きそうだエルシャの大英雄か知ってるし
CFWRJ0FZ1S8-00182-00051718-00051960 でしょでよ
CFWRJ0FZ1S8-00183-00051961-00052236 アレイオスの大軍を破り、イスカンダルは…
CFWRJ0FZ1S8-00184-00052237-00052623 バビロンの女王を主宗に収めいよいよ世界
CFWRJ0FZ1S8-00185-00052624-00052945 大政派に大手をかけたってな
CFWRJ0FZ1S8-00186-00052946-00053188 ブーバー
CFWRJ0FZ1S8-00187-00053189-00053366 ダメだぜ
CFWRJ0FZ1S8-00188-00053366-00053564 あんたが食べてみじゃねえじゃ
CFWRJ0FZ1S8-00190-00053754-00054060 取り込んだどこぞの大抵野郎が
CFWRJ0FZ1S8-00191-00054061-00054203 って話だ
CFWRJ0FZ1S8-00192-00054204-00054515 見出し並みをきちんとしているか
CFWRJ0FZ1S8-00193-00054516-00054805 生きているうちは着飾る方が楽しいぜ
CFWRJ0FZ1S8-00194-00054807-00055196 黒コートとかそうかにかっこいいからな
CFWRJ0FZ1S8-00195-00055197-00055499 これはイカ土よりも速いが走るとこ
CFWRJ0FZ1S8-00196-00055500-00055618 より遅い
CFWRJ0FZ1S8-00197-00055619-00055843 チーモを飛び立て
CFWRJ0FZ1S8-00198-00055844-00056142 伊勢王朝? 帰ってくる
CFWRJ0FZ1S8-00199-00056144-00056542 およそ1000回に英雄豪傑パタールドしやす
CFWRJ0FZ1S8-00201-00056797-00056991 かっこいいバカだ
CFWRJ0FZ1S8-00202-00056991-00057294 イングランドの王子にして巨人をし
CFWRJ0FZ1S8-00203-00057295-00057691 ブランク王国にその…
CFWRJ0FZ1S8-00204-00057692-00057972 ダイディそれがお前だ
CFWRJ0FZ1S8-00206-00058404-00058662 ご視聴ありがとうございました
CFWRJ0FZ1S8-00208-00058804-00058954 今のお前は
CFWRJ0FZ1S8-00210-00059160-00059441 聞いとねーさーでー
CFWRJ0FZ1S8-00212-00059584-00059938 グレグレマスターと一緒に出撃ですか?
CFWRJ0FZ1S8-00214-00060097-00060448 濃い王様なのでかっこよくしていいか
CFWRJ0FZ1S8-00215-00060449-00060725 かっこいい出撃ってなんかあるか?
CFWRJ0FZ1S8-00216-00060726-00061046 うーんやっぱりスーパーヒーロー着地
CFWRJ0FZ1S8-00217-00061047-00061216 か
CFWRJ0FZ1S8-00218-00061216-00061525 両足と片手で着地するわん
CFWRJ0FZ1S8-00219-00061526-00061807 腰が痛そうなんだよなあれ
CFWRJ0FZ1S8-00220-00061808-00062128 あとキム持っていると危なくねーか
CFWRJ0FZ1S8-00221-00062129-00062442 言ってんの多さなかっこよさと危険性
CFWRJ0FZ1S8-00222-00062444-00062722 どっちが大事なのさ
CFWRJ0FZ1S8-00224-00062936-00063219 かっこよさに決まってんだろう
CFWRJ0FZ1S8-00225-00063220-00063341 そうだろ
CFWRJ0FZ1S8-00226-00063341-00063712 だったら、君がやるべきことはなんだ!
CFWRJ0FZ1S8-00227-00063713-00064051 いいにすぐ練習だ!よいしょ!いいにしろ飛んでく!
CFWRJ0FZ1S8-00228-00064052-00064367 あんたはここで待ってるな
CFWRJ0FZ1S8-00229-00064369-00064734 ヒューストーリーになってるね
CFWRJ0FZ1S8-00230-00064735-00064875 まさか
CFWRJ0FZ1S8-00231-00064876-00065062 本当に飛ぶと
CFWRJ0FZ1S8-00232-00065063-00065375 まあまあ、喧嘩は後でしようぜ
CFWRJ0FZ1S8-00233-00065376-00065643 ロビンフッドだろそれなら俺でも知って
CFWRJ0FZ1S8-00234-00065644-00065819 メジャーどこだ
CFWRJ0FZ1S8-00235-00065820-00066206 村を守り森を武器にし悪逆なる漁師
CFWRJ0FZ1S8-00236-00066207-00066546 いっぱい食わせたかっこいい英雄だまさき
CFWRJ0FZ1S8-00237-00066547-00066761 一度ここにあり
CFWRJ0FZ1S8-00240-00066889-00067066 強くありたいね
CFWRJ0FZ1S8-00241-00067067-00067311 切実にそう思うよ
CFWRJ0FZ1S8-00242-00067312-00067662 結末はどうであれかっこよければ全て
CGFSRF97KCQ-00000-00000000-00000371 小さくはじめて大きく育てるMLops
CGFSRF97KCQ-00001-00000372-00001046 2020です 発表時間は質疑応答を含んで30分です
CGFSRF97KCQ-00002-00001047-00001421 まず発表の前にマイクテストを兼ねて
CGFSRF97KCQ-00003-00001422-00001748 読み上げ事項を読み上げていただきます
CGFSRF97KCQ-00004-00001750-00002586 岩崎さん、ビデオをオンにして読み上げをお願いいたします。
CGFSRF97KCQ-00005-00002587-00002759 はい
CGFSRF97KCQ-00006-00002760-00003361 ではマイクテストを兼ねまして 私の名前は岩崎悠希です
CGFSRF97KCQ-00007-00003363-00004111 発表のタイトルは、「俗、小さく始めて大きく育てるMLbox 2020です。」
CGFSRF97KCQ-00008-00004112-00004406 発表説明は日本語です。
CGFSRF97KCQ-00009-00004407-00004717 発表資料は日本語です。
CGFSRF97KCQ-00010-00004718-00005037 発表資料は公開です
CGFSRF97KCQ-00011-00005038-00006436 発表中の写真撮影に同意します。また、PyCon-JPの行動規範に同意します。はい。
CGFSRF97KCQ-00012-00006437-00006641 ありがとうございました
CGFSRF97KCQ-00013-00006642-00007351 音声特にトラブルなど内容です
CGFSRF97KCQ-00014-00007352-00007541 えー、では
CGFSRF97KCQ-00015-00007542-00007848 2分少々早いですが
CGFSRF97KCQ-00016-00007850-00008410 発表をお願いしたいと思いますそれでは矢崎さんを握手でお迎えください
CGFSRF97KCQ-00017-00008411-00009214 発表をお願いいたします。
CGFSRF97KCQ-00019-00009337-00009681 このトークにお集まりいただきありがとうございます
CGFSRF97KCQ-00020-00009682-00010230 改めまして 株式会社サイバーエージェント AIラボという研究組織で
CGFSRF97KCQ-00021-00010231-00010645 リサーチエンジニアをしています 岩崎と申します
CGFSRF97KCQ-00022-00010646-00011233 今日はpyconjpということで 経歴と Pythonとの関わりを軽く話させて
CGFSRF97KCQ-00023-00011234-00011453 いただきます
CGFSRF97KCQ-00024-00011454-00012101 2014年に入社しまして インターネット広告の配信プロダクトでRuby
CGFSRF97KCQ-00025-00012102-00012614 スカラ、JavaScriptでバックエンド、フロントエンドを2年ほど。
CGFSRF97KCQ-00026-00012615-00013130 この2016年にデータ分析系の業務にシフトしたところで、初めてPythonに入力しました。
CGFSRF97KCQ-00027-00013131-00013377 出会いました
CGFSRF97KCQ-00028-00013378-00013707 経歴上もともとRuby信者だったのですが
CGFSRF97KCQ-00029-00013708-00014172 Pythonでできることの多さ、コミュニティの大きさに感動し、ここ4年を
CGFSRF97KCQ-00030-00014172-00014613 Pythonしか書けない体になってしまいました
CGFSRF97KCQ-00031-00014613-00015102 好きなライブラリはnotify.runです。
CGFSRF97KCQ-00032-00015103-00015311 ネットではCH
CGFSRF97KCQ-00033-00015312-00015650 HCKというハンドルネームで活動しています
CGFSRF97KCQ-00034-00015651-00016564 30分という短い時間ですがどうぞよろしくお願いします
CGFSRF97KCQ-00035-00016565-00016917 さて本日のタイトルは
CGFSRF97KCQ-00036-00016918-00017400 小さく始めて大きく育てるMLops 2020ですが
CGFSRF97KCQ-00037-00017401-00017844 そもそもMLopsとは何でしょうか
CGFSRF97KCQ-00038-00017845-00018012 wikipediaには
CGFSRF97KCQ-00039-00018013-00018669 MLライフサイクルを運用管理するためのプラクティスとあります
CGFSRF97KCQ-00040-00018670-00019565 ではそのMLライフサイクルとは何でしょうか。
CGFSRF97KCQ-00041-00019566-00019874 左の図は Spark を開発している
CGFSRF97KCQ-00042-00019875-00020497 Data BlixのMLライフサイクルを表した図になります。
CGFSRF97KCQ-00043-00020498-00020771 ml ライフサイクルとは
CGFSRF97KCQ-00044-00020772-00021240 ロゴデータから始まるデータの取得
CGFSRF97KCQ-00045-00021241-00021553 前処理
CGFSRF97KCQ-00046-00021554-00021877 トレーニングとレポーティング
CGFSRF97KCQ-00047-00021878-00022155 そしてデプロイを通じて
CGFSRF97KCQ-00048-00022156-00022708 モデルを改善していく周期的なプロセスを指します
CGFSRF97KCQ-00049-00022709-00023197 つまり、MLOpsとは、この運用を見据えた実験ログやワークフローを
CGFSRF97KCQ-00050-00023198-00023621 どう管理していくかという話です
CGFSRF97KCQ-00051-00023622-00023971 今回は、デプロイ以外の4つ、
CGFSRF97KCQ-00052-00023972-00024583 データ取得からレポーティングまでに焦点を当てまして、実験管理と称して話を展開していきます。
CGFSRF97KCQ-00053-00024584-00025149 いきます
CGFSRF97KCQ-00054-00025150-00025666 Pythonのコードを通じてより具体的に見ていきます
CGFSRF97KCQ-00055-00025667-00026058 まずデータ取得で何かしらのデータが
CGFSRF97KCQ-00056-00026060-00026487 CSVやデータベースに与えられている状況で
CGFSRF97KCQ-00057-00026488-00027052 データを操作できるPandasやTensorFlowのユーティリティを使って
CGFSRF97KCQ-00058-00027054-00027406 データをロードします
CGFSRF97KCQ-00059-00027407-00027862 無事に読み込めていることがわかりますね
CGFSRF97KCQ-00060-00027863-00028301 このデータは患者の属性情報から心臓病
CGFSRF97KCQ-00061-00028302-00029349 分類をするというデータセット になっています
CGFSRF97KCQ-00062-00029350-00029739 機械学習でモデリングをする上で モデルが解釈できる
CGFSRF97KCQ-00063-00029739-00030141 行列の形にデータを変換する必要があります
CGFSRF97KCQ-00064-00030142-00030567 これが今回でいう前処理になります。
CGFSRF97KCQ-00065-00030568-00031375 この図ではシンプルに、カラムのうちのカテゴリーになっている部分。
CGFSRF97KCQ-00066-00031376-00032143 隣結のステージを表しているようですね。
CGFSRF97KCQ-00067-00032144-00032422 これを数値変換し
CGFSRF97KCQ-00068-00032423-00033115 データをトレーニング用とテスト用に分けるところまでの例です
CGFSRF97KCQ-00069-00033116-00033850 Scikit-learnを使うと簡単にできますね
CGFSRF97KCQ-00070-00033851-00034282 そしてメインのトレーニングのコードです。
CGFSRF97KCQ-00071-00034283-00034629 機械学習のライブラリは数多くありますが
CGFSRF97KCQ-00072-00034630-00035122 ここでは、WriteGBMというライブラリの例を見てみます。
CGFSRF97KCQ-00073-00035123-00035279 パラメータを
CGFSRF97KCQ-00074-00035280-00035546 リクショナリーの形で
CGFSRF97KCQ-00075-00035547-00035851 モデルに渡してあげて
CGFSRF97KCQ-00076-00035852-00036505 マイ処理済みのゲータを x y としてフィット関数をコールすると学習が
CGFSRF97KCQ-00077-00036506-00037183 しまいます
CGFSRF97KCQ-00078-00037184-00037810 ちゃんと学習が行われたかの確認する必要があるのでトレーニングの一環で学習結果を
CGFSRF97KCQ-00079-00037811-00038167 レポーティングしてみます
CGFSRF97KCQ-00080-00038168-00038321 この例では
CGFSRF97KCQ-00081-00038322-00038743 分類精度80%なので悪くはないですが
CGFSRF97KCQ-00082-00038744-00039167 その誤差をマットプロットリブなどでプロットしてみると
CGFSRF97KCQ-00083-00039168-00039447 ちょっと科学習気味ですね
CGFSRF97KCQ-00084-00039448-00039804 もう一回データから見直してみましょうか
CGFSRF97KCQ-00085-00039805-00040574 といった感じでMLライフサイクルが回っていきます
CGFSRF97KCQ-00086-00040575-00041141 しかし、実際に運用している方はご存知かと思いますが、このサイクルには罠がたくさんあります。
CGFSRF97KCQ-00087-00041142-00041745 ありがとうございます
CGFSRF97KCQ-00088-00041746-00041885 断立する
CGFSRF97KCQ-00089-00041886-00042410 Jupyter Notebook
CGFSRF97KCQ-00090-00042411-00043106 スポットで実験するたびにノートブックを書き捨てていった結果、
CGFSRF97KCQ-00091-00043107-00044006 最新がどれなんだろうか
CGFSRF97KCQ-00092-00044007-00044501 リモート不明なデータ
CGFSRF97KCQ-00093-00044502-00044983 後から参照したいデータは保存すべきです
CGFSRF97KCQ-00094-00044984-00045173 ただその命名は
CGFSRF97KCQ-00095-00045174-00045483 個人にかかっています
CGFSRF97KCQ-00096-00045484-00046637 1週間前に動かしていたデータがどれだったか覚えていないこともあるでしょう
CGFSRF97KCQ-00097-00046638-00047046 再現しない学習結果
CGFSRF97KCQ-00098-00047047-00047361 モデリングは非常にセンシティブです
CGFSRF97KCQ-00099-00047362-00047942 一番良かった結果がどんな実験設定だったか覚えていますか?
CGFSRF97KCQ-00100-00047943-00049009 いろいろカラメーターをじっていたら元に戻らなくなったとかよくある話ですね
CGFSRF97KCQ-00101-00049010-00049371 引き継ぎできない実験行動
CGFSRF97KCQ-00102-00049372-00049497 例えば
CGFSRF97KCQ-00103-00049498-00050112 卒業した先輩の実験コードを解読する必要があるとき
CGFSRF97KCQ-00104-00050113-00050909 例えば、後輩や同僚、未来の自分に引き継ぎたいとき。
CGFSRF97KCQ-00105-00050910-00051441 どちゃくちゃ長いリードミー通りにやってもなぜか動かない
CGFSRF97KCQ-00106-00051442-00051811 先輩も先輩で分からなかったら連絡して
CGFSRF97KCQ-00107-00051812-00052158 みたいなことを言われたり
CGFSRF97KCQ-00108-00052159-00053062 ただそのリードミーや連絡先があるだけマシかもしれません
CGFSRF97KCQ-00109-00053063-00053795 実験管理できてますか
CGFSRF97KCQ-00110-00053796-00054260 そんな問題を解決すべく、6月に弊社ブログにて、
CGFSRF97KCQ-00111-00054261-00054817 小さく始めて大きく育てるMLOps2020という記事を公開したところ
CGFSRF97KCQ-00112-00054819-00055154 ご反響いただきました
CGFSRF97KCQ-00113-00055154-00055847 こちらも気合を入れて書いたので、興味がある方はぜひ読んでほしいのですが。
CGFSRF97KCQ-00114-00055848-00056579 ブログでは図のように多くのツールを広く紹介しましたが、今日はその中から特に注目が
CGFSRF97KCQ-00115-00056579-00056746 のツールに絞って
CGFSRF97KCQ-00116-00056747-00057121 決定版を紹介したいと思います
CGFSRF97KCQ-00117-00057122-00057304 何ができるか
CGFSRF97KCQ-00118-00057305-00058666 どう構築するか、注意点、工夫点などをお伝えできたら幸いです。
CGFSRF97KCQ-00119-00058667-00059002 アイドラ
CGFSRF97KCQ-00120-00059003-00059385 まずはハイドラです
CGFSRF97KCQ-00121-00059386-00059875 設定パラメータを管理する Pythonライブラリです
CGFSRF97KCQ-00122-00059876-00060140 複数のYAMLを継承したり
CGFSRF97KCQ-00123-00060141-00060544 順次読み込みが特徴的です
CGFSRF97KCQ-00124-00060545-00061222 特に順次読み込みはパラメータの異なる YAML を複数用意しておいてどの実験結果と
CGFSRF97KCQ-00125-00061223-00061819 一番いいかなど、短冊に利用できます。
CGFSRF97KCQ-00126-00061820-00062003 これも
CGFSRF97KCQ-00127-00062004-00062478 お試しのファイル構成を見てみましょう
CGFSRF97KCQ-00128-00062479-00062899 まず黄色枠のconfig.yamlを用意し
CGFSRF97KCQ-00129-00062900-00063590 デフォルツ・パラムス・ライトGBM Aと記述します。
CGFSRF97KCQ-00130-00063591-00063959 そして配下にパラムスディレクトを切り
CGFSRF97KCQ-00131-00063960-00064287 赤枠、緑枠のように
CGFSRF97KCQ-00132-00064288-00064491 パラメータ違いにやめろ
CGFSRF97KCQ-00133-00064491-00065029 用意しておきます
CGFSRF97KCQ-00134-00065029-00065379 config.yamlのデフォルツが
CGFSRF97KCQ-00135-00065379-00065850 バラムスディレクトリ内のWriteGBMAと
CGFSRF97KCQ-00136-00065851-00066334 関連示しています
CGFSRF97KCQ-00137-00066335-00067179 このように、YAMLの入れ子で値を管理できます。
CGFSRF97KCQ-00138-00067180-00068284 実際に読むPythonのコードを見てみましょう
CGFSRF97KCQ-00139-00068285-00068735 ハットマーク Hydra.mainというデコレーターに
CGFSRF97KCQ-00140-00068736-00069146 config.yamlのパスを否定することで
CGFSRF97KCQ-00141-00069147-00069476 ドットでアクセスできる ディクショナリーのような
CGFSRF97KCQ-00142-00069477-00069833 ハイドラの裏で使われているオメガ交付形式で
CGFSRF97KCQ-00143-00069834-00070195 コンフィグを読み込めます
CGFSRF97KCQ-00144-00070196-00070699 ML形式で読み込んだパラメータをWriteGBMのモデルに展開する例で、
CGFSRF97KCQ-00146-00071332-00071781 ここでファイルの準備ができたので 読み込んだパラメータをシンプルにプリント
CGFSRF97KCQ-00147-00071782-00072067 それが実行例です。
CGFSRF97KCQ-00148-00072068-00072631 デフォルトに指定したようにそのまま実行すると、WriteGBMAのパラメータを
CGFSRF97KCQ-00149-00072632-00073207 が読み込めています
CGFSRF97KCQ-00150-00073208-00073717 コマンド引数でパラム数をLightGBM Bにしてみると、Bのパラメータ
CGFSRF97KCQ-00151-00073718-00074582 に切り替えることができています
CGFSRF97KCQ-00152-00074583-00074915 さらに引数から値を直接
CGFSRF97KCQ-00153-00074916-00075419 上書きすることもできます
CGFSRF97KCQ-00154-00075420-00076044 ご覧の通り、あくまで設定管理ツールなので、もちろん機械学習会でも利用できます。
CGFSRF97KCQ-00155-00076045-00076958 例えばDBの向き先をレベロップとプロダクションで変えるなどですね
CGFSRF97KCQ-00156-00076959-00077605 Hydraの説明の最後に目玉機能のマルチランです
CGFSRF97KCQ-00157-00077606-00077887 緩脈切りで
CGFSRF97KCQ-00158-00077888-00078163 パラメータを渡してあげると
CGFSRF97KCQ-00159-00078164-00078434 YAMLを順に読み込んでくれます
CGFSRF97KCQ-00160-00078435-00078698 便利ですね
CGFSRF97KCQ-00161-00078699-00079040 これを機にパラメータはハードコーディングしないで
CGFSRF97KCQ-00162-00079041-00079691 Hydraで管理しましょう
CGFSRF97KCQ-00163-00079692-00080231 MLflow Tracking
CGFSRF97KCQ-00164-00080232-00080753 こちらは実験ログを管理できるPythonライブラリです。
CGFSRF97KCQ-00165-00080754-00081312 トラッキング プロジェクト モデル図の3機能がありますが
CGFSRF97KCQ-00166-00081313-00081573 今回は中でもメイン機能の
CGFSRF97KCQ-00167-00081574-00082199 トラッキングについてご紹介します
CGFSRF97KCQ-00168-00082200-00082446 利用の流れとしては
CGFSRF97KCQ-00169-00082447-00082944 実験設定や結果を Pythonクライアント経由で
CGFSRF97KCQ-00170-00082945-00083312 別途用意したサーバーに蓄積させていき
CGFSRF97KCQ-00171-00083313-00083669 その結果を専用のUI画面から確認できる
CGFSRF97KCQ-00172-00083670-00084102 といった感じです。
