-4ff7nskf1y-00000-00000027-00000399 トンプソンハウス来ました
-4ff7nskf1y-00054-00032172-00032338 しますー
-4ff7nskf1y-00055-00032339-00032743 おばく避けられないな。
-4ff7nskf1y-00058-00033656-00034166 ケイトアンザトウ
-4ff7nskf1y-00059-00034167-00034849 今誰か追われてる?泉を使っとこう。
-4ff7nskf1y-00060-00034850-00035104 どこでチェイスしてるかな?
-4ff7nskf1y-00062-00035305-00035550 デートから遠いな。
-4ff7nskf1y-00064-00035877-00036038 これは
-4ff7nskf1y-00065-00036039-00036699 俺、猶予持ってないんだよな。教科ゲロで時間もないから無理か。
-4ff7nskf1y-00066-00036700-00037779 助けられなくてごめんなー。
-6i8lOi00DY-00002-00001145-00001520 今週は新番組大特集号です
-6i8lOi00DY-00005-00001814-00002113 一本の船
-6i8lOi00DY-00008-00002416-00003065 今年もやっぱり
-6i8lOi00DY-00009-00003066-00003274 もちろん
-6i8lOi00DY-00013-00004014-00004301 単突クレの定番
-6i8lOi00DY-00015-00004501-00004875 テレビを開いてくださいおもちテレビを開いてください
-6i8lOi00DY-00017-00005335-00005843 いやっ!超番組賞のお正月超特大号は発売中!
-6i8lOi00DY-00023-00007500-00007934 チェックエンドテレビガイドこんなコンパクトだけどインパクト
-6i8lOi00DY-00024-00007934-00008547 またバッタで漫画でのスターコン集来集満集パスバイチューパスでゲット
-6i8lOi00DY-00028-00009656-00011076 いいしてーしーにないるったいないっすよっしゃいでーす
-6i8lOi00DY-00034-00013359-00013840 こんな新作性もそらしてね何大人ものネタ集め
-6i8lOi00DY-00036-00014519-00014966 セレビガイド発売中に。
-6i8lOi00DY-00037-00014966-00015110 テレビガイド!
-6i8lOi00DY-00038-00015111-00015505 食パンでしょ
-6i8lOi00DY-00041-00016053-00016361 うっそ!そばして!だいぼん!
-6i8lOi00DY-00048-00017755-00017930 テレビがいてください
-6i8lOi00DY-00053-00019440-00019939 年末年始のお楽しみは紅白確認
-6i8lOi00DY-00055-00020294-00020812 お正月ちょうど暗いごもみゅうべびたいと
-6i8lOi00DY-00057-00020963-00021650 愛は天候整定時を宇宙人としてに可愛いね
-6i8lOi00DY-00061-00022917-00023118 詳しい
-6i8lOi00DY-00064-00023482-00023712 テレビライド買ってね!赤いマウスの!
-6i8lOi00DY-00067-00024469-00024780 一人一人言われちゃう
-6i8lOi00DY-00070-00025036-00025708 テレビガイド発売!テレビガイド買ってね!
-6i8lOi00DY-00086-00031537-00031848 イールズフィア発射所にお見えだ!キリティガイド!
-6i8lOi00DY-00090-00032977-00033193 イヌシリスかフロニシスか
-6i8lOi00DY-00092-00033647-00034075 僕は40周年テレヤモンで大したもんでL2に
-6i8lOi00DY-00094-00034451-00034665 テレビガイド14ん?
-6i8lOi00DY-00097-00035284-00035811 会議をたからずつなどプレゼントも豊富にあり超特製エレピカイト
-6i8lOi00DY-00098-00035812-00035971 明日まずバイバイ
-6i8lOi00DY-00112-00042278-00042745 一瞬なってほんと詳しく 家に住んでもわかる一日一日を
-6i8lOi00DY-00114-00043109-00043507 お正月ごめんを! 最高評発売中!
-6i8lOi00DY-00115-00043508-00043822 変わるヘビーガイド
-6i8lOi00DY-00116-00043823-00044423 大きくなってグラビアもさらに映ってきてる年末ですよエンタメ情報が満載
-6i8lOi00DY-00117-00044424-00044743 新時代に新街道お正月特待軍
-HjCbi32_Yk-00000-00001559-00001747 こんにちは海のひとときです
-HjCbi32_Yk-00002-00002039-00002471 だんだんと寒さも増してきましたね
-HjCbi32_Yk-00003-00002472-00002537 さあ
-HjCbi32_Yk-00004-00002538-00002675 なってくると
-HjCbi32_Yk-00005-00002676-00002921 背刷りでねじ中
-HjCbi32_Yk-00006-00002922-00003100 あるいはアナウンス
-HjCbi32_Yk-00007-00003101-00003365 アイテムのアイテムは
-HjCbi32_Yk-00008-00003365-00003622 どうでしょうか
-HjCbi32_Yk-00009-00003623-00004013 ということで今回はですね
-HjCbi32_Yk-00010-00004014-00004301 ブラックリズリをテーマに動画を作る
-HjCbi32_Yk-00011-00004302-00004483 いきたいとおもいます
-HjCbi32_Yk-00012-00004484-00004769 最近では初心者の方も
-HjCbi32_Yk-00013-00004770-00004985 それから始めてみたという方もいるそうです
-HjCbi32_Yk-00014-00004986-00005422 この動画では市販の仕掛けの水中映像をご覧いただきました
-HjCbi32_Yk-00015-00005423-00005722 その課題を踏まえて
-HjCbi32_Yk-00016-00005723-00005993 自作した仕掛けでの水中映像を音で消した
-HjCbi32_Yk-00017-00005994-00006133 と思います
-HjCbi32_Yk-00018-00006134-00006587 では始めは市販の仕掛けからご覧ください
-HjCbi32_Yk-00019-00006588-00006905 今回ですか?
-HjCbi32_Yk-00020-00006906-00007205 一般的な仕掛けで、穴づけをしていくのが
-HjCbi32_Yk-00022-00007452-00007667 このように脳が強くなったら
-HjCbi32_Yk-00023-00007668-00007846 終わり
-HjCbi32_Yk-00024-00007847-00007919 と待機
-HjCbi32_Yk-00025-00007920-00008260 このソートロットに3つのパーツを
-HjCbi32_Yk-00026-00008261-00008692 シートを付けてその先端にこの 市販のブラックリッド
-HjCbi32_Yk-00027-00008693-00008946 をつけてみました
-HjCbi32_Yk-00029-00009252-00009353 そしたら
-HjCbi32_Yk-00031-00009492-00009719 中映像に移っていきましょう。
-HjCbi32_Yk-00032-00009720-00010067 今回使った
-HjCbi32_Yk-00033-00010068-00010295 生きていく餌はサンマの切り身になっています
-HjCbi32_Yk-00034-00010296-00010655 ます作
-HjCbi32_Yk-00037-00010865-00011201 手から浮かせたりの動きをつけて
-HjCbi32_Yk-00038-00011202-00011339 誘い出してみます
-HjCbi32_Yk-00040-00011610-00011759 カゴ書き台と
-HjCbi32_Yk-00041-00011760-00012169 小さいカサゴが現れました
-HjCbi32_Yk-00043-00012703-00013180 どうやら見えている魚は口が小さい魚で
-HjCbi32_Yk-00044-00013181-00013769 だけになってしまっていますね
-HjCbi32_Yk-00046-00014078-00014422 市販の仕掛け、市販のぶらくびのメリットと
-HjCbi32_Yk-00047-00014423-00014644 まず
-HjCbi32_Yk-00048-00014645-00015065 粒だけなのでとにかくお手軽
-HjCbi32_Yk-00049-00015066-00015203 グラクリ一つ
-HjCbi32_Yk-00050-00015204-00015555 の先端につければ、それで完了です。
-HjCbi32_Yk-00052-00015890-00016079 二つ目に針
-HjCbi32_Yk-00053-00016080-00016336 重りが一体型なので
-HjCbi32_Yk-00054-00016337-00016511 たりすることが非常に
-HjCbi32_Yk-00055-00016512-00016894 なかったりとかあとは狭い穴にも落とし
-HjCbi32_Yk-00056-00016895-00017111 というようなメリットがあるんじゃないかと
-HjCbi32_Yk-00057-00017112-00017450 いかないかと思います
-HjCbi32_Yk-00058-00017451-00017653 お兄ちゃん
-HjCbi32_Yk-00059-00017654-00018041 一方で、市販の仕掛け、市販のぶらくりの課題を
-HjCbi32_Yk-00060-00018042-00018436 これかなと思うところは 見て分かるとおり
-HjCbi32_Yk-00061-00018437-00018905 でかいというところですね
-HjCbi32_Yk-00062-00018906-00019180 これは食い込みが悪い時に
-HjCbi32_Yk-00063-00019181-00019522 小さくしたいが大体市販の仕掛けは
-HjCbi32_Yk-00064-00019523-00020021 針が大きめになっています
-HjCbi32_Yk-00065-00020022-00020219 先ほどお話ししたように
-HjCbi32_Yk-00066-00020220-00020494 おむりが一体型になって、辛味は少ないので
-HjCbi32_Yk-00067-00020495-00020741 このように魚が出てきます。
-HjCbi32_Yk-00068-00020742-00021005 女がおもりに違和感を持って話してしまう
-HjCbi32_Yk-00069-00021006-00021204 言葉がよくあります
-HjCbi32_Yk-00071-00021320-00021472 またお願いいたします。
-HjCbi32_Yk-00072-00021473-00021707 分かりや四つ物バイトによって
-HjCbi32_Yk-00073-00021708-00022000 針が曲がってしまったり
-HjCbi32_Yk-00074-00022001-00022169 出質しちゃうと
-HjCbi32_Yk-00075-00022170-00022414 交換をしなくてはいけなくなってしまう
-HjCbi32_Yk-00076-00022415-00022515 しまいます
-HjCbi32_Yk-00078-00023522-00023933 このような課題を解決するために、今回自作の
-HjCbi32_Yk-00079-00023934-00024257 ブラックリの仕掛けを作ってそちらを撮影します
-HjCbi32_Yk-00080-00024258-00024410 していきたいと思います
-HjCbi32_Yk-00082-00024756-00025007 ではまず仕掛けの作り方を紹介していきます。
-HjCbi32_Yk-00083-00025008-00025421 たいと思います
-HjCbi32_Yk-00084-00025422-00025522 していくのは
-HjCbi32_Yk-00085-00025523-00025883 テーブル中通しを盛り 針すどめ
-HjCbi32_Yk-00086-00025883-00026068 そして道
-HjCbi32_Yk-00087-00026069-00026231 あと2種類と、
-HjCbi32_Yk-00090-00026989-00027377 まずは太いハリス。今回使うのは6号の形。
-HjCbi32_Yk-00091-00027377-00027617 このように水ベルをつけていきます。
-HjCbi32_Yk-00092-00027618-00027735 ご視聴ありがとうございました
-HjCbi32_Yk-00094-00028860-00029129 このように、
-HjCbi32_Yk-00095-00029130-00029573 このように中通しの重りをつけていきます。
-HjCbi32_Yk-00096-00029574-00029755 中
-HjCbi32_Yk-00097-00029756-00030023 サウナとスワモリの号数は
-HjCbi32_Yk-00098-00030024-00030257 耐火重と塩
-HjCbi32_Yk-00099-00030258-00030655 この流れなどによって判断していきます。
-HjCbi32_Yk-00100-00030656-00030983 中東小森を使う理由としては
-HjCbi32_Yk-00101-00030983-00031108 下のあたりが
-HjCbi32_Yk-00102-00031110-00031373 使われやすくなることと
-HjCbi32_Yk-00103-00031374-00031577 長さを加えた時の
-HjCbi32_Yk-00104-00031577-00031823 時間の軽減につながることをイメージ しています
-HjCbi32_Yk-00105-00031824-00031945 います
-HjCbi32_Yk-00107-00032144-00032429 中戸を正盛りを付けたら最後に 針磋留めを付け
-HjCbi32_Yk-00108-00032430-00032914 完了です
-HjCbi32_Yk-00110-00033066-00033412 サルカンからハリストメの長さが
-HjCbi32_Yk-00111-00033413-00033840 10cmほどになっています。
-HjCbi32_Yk-00113-00034232-00034631 もう一方、使いたい針にハリスを
-HjCbi32_Yk-00114-00034632-00034793 つけていきます
-HjCbi32_Yk-00115-00034794-00035068 今回使っているハリスは2号のハリスになります。
-HjCbi32_Yk-00117-00035262-00035561 ごめん
-HjCbi32_Yk-00118-00035562-00035837 ファンを2、3cmほど切りハリスに通 していきます
-HjCbi32_Yk-00119-00035838-00036340 いきます
-HjCbi32_Yk-00120-00036341-00036642 ハリスをハリス止めに通します
-HjCbi32_Yk-00122-00037308-00037559 ハリスの長さの分のところでコブを
-HjCbi32_Yk-00124-00037800-00038099 このように、ハリス止めに
-HjCbi32_Yk-00125-00038100-00038246 していきます
-HjCbi32_Yk-00126-00038247-00039179 ご視聴ありがとうございました
-HjCbi32_Yk-00127-00039180-00039437 ハリス止めをこのようにさらに固定します。
-HjCbi32_Yk-00128-00039438-00040159 していきます
-HjCbi32_Yk-00129-00040160-00040476 これで一連の仕掛けの完成になります。
-HjCbi32_Yk-00130-00040477-00042487 はい
-HjCbi32_Yk-00131-00042488-00042755 ハリスを短くしたい時は、
-HjCbi32_Yk-00132-00042756-00043118 このようにコブを作り
-HjCbi32_Yk-00134-00043247-00043540 同様になった場所を切り落としてから
-HjCbi32_Yk-00135-00043541-00043739 ゴム缶で止めて完成
-HjCbi32_Yk-00136-00043740-00044317 です
-HjCbi32_Yk-00145-00047774-00047993 では実際に実際に
-HjCbi32_Yk-00146-00047994-00048257 枠の仕掛けをこのように階調に 落としていきます
-HjCbi32_Yk-00147-00048258-00048350 ます
-HjCbi32_Yk-00148-00048351-00048652 ご視聴ありがとうございました
-HjCbi32_Yk-00149-00048653-00048977 この自作の仕掛けにはマルセイゴの14
-HjCbi32_Yk-00150-00048978-00049110 この針をつけています
-HjCbi32_Yk-00151-00049111-00049649 おもりか
-HjCbi32_Yk-00152-00049650-00049907 これから針までの遊びがある分
-HjCbi32_Yk-00153-00049908-00050105 潮流に合わせて自然に
-HjCbi32_Yk-00154-00050106-00050296 そんな動きをするのはとてもいいと思います。
-HjCbi32_Yk-00157-00050652-00051029 またお会いしましょう
-HjCbi32_Yk-00158-00051030-00051311 理由で魚のフッキングもよくダイソー
-HjCbi32_Yk-00159-00051312-00051661 ですね
-HjCbi32_Yk-00160-00051662-00052079 やはりまだ針が大きそうなのでここで刺すと
-HjCbi32_Yk-00161-00052079-00052297 よく交換をしていきます
-HjCbi32_Yk-00163-00052589-00052841 ここでくれ針がついたハリスをワンタッチで
-HjCbi32_Yk-00166-00053322-00053573 小さくしたのでおのずと餌も小さく
-HjCbi32_Yk-00167-00053574-00053741 できます
-HjCbi32_Yk-00169-00054210-00054341 アリストハリの
-HjCbi32_Yk-00171-00054582-00054748 が良くなりそうですね
-HjCbi32_Yk-00173-00055417-00055672 カサゴがやってきました
-HjCbi32_Yk-00175-00056112-00056254 小さくしたので
-HjCbi32_Yk-00176-00056255-00056416 吸い込みはかなり良くなっているようです。
-HjCbi32_Yk-00179-00057294-00057620 森なのでよく転がっていきます
-HjCbi32_Yk-00181-00058094-00058397 どうやらそのまま根に入られてしまったようです。
-HjCbi32_Yk-00184-00058836-00059182 この角度を変えてみると
-HjCbi32_Yk-00185-00059183-00059291 なんとか
-HjCbi32_Yk-00186-00059291-00059616 引きずり出すことができました。
-HjCbi32_Yk-00188-00060739-00060994 サイズは小さいですがこんな
-HjCbi32_Yk-00189-00060995-00061199 のカサゴです
-HjCbi32_Yk-00191-00061750-00062753 さらに縦線を作ります。
-HjCbi32_Yk-00192-00062754-00063245 続けにヒットシーンをお届けいたします。
-HjCbi32_Yk-00194-00063486-00063647 今見えているのが
-HjCbi32_Yk-00195-00063648-00064017 当年物体になります
-HjCbi32_Yk-00197-00064712-00065062 ここで違う魚がやってきました
-HjCbi32_Yk-00199-00065520-00066044 狙って一目散に餌を食べました
-HjCbi32_Yk-00201-00066368-00066682 こちらも小さいですがなんと赤葉
-HjCbi32_Yk-00202-00066683-00067031 また忘れました
-HjCbi32_Yk-00203-00067032-00067337 どうやらこの前にエビを捕食していたようです。
-HjCbi32_Yk-00204-00067338-00067510 ですね
-HjCbi32_Yk-00206-00067932-00068433 こちらもリリースになります
-HjCbi32_Yk-00208-00068689-00068988 いかがでしたか?
-HjCbi32_Yk-00209-00068989-00069388 市販のブラックリードメリットは、何と言っても、
-HjCbi32_Yk-00210-00069389-00069725 その手軽さにあります
-HjCbi32_Yk-00211-00069726-00070061 風の悪さや環境の変化によって
-HjCbi32_Yk-00212-00070062-00070367 まだ開けられないというときはこの
-HjCbi32_Yk-00213-00070368-00070529 くしかけでため
-HjCbi32_Yk-00214-00070530-00070817 してみる価値は十分にあるかと 今回感じました
-HjCbi32_Yk-00215-00070818-00071015 ました
-HjCbi32_Yk-00216-00071016-00071460 こちらも試しに作ってみてください
-SD_mkDTalU-00000-00000049-00000374 で、この子は
-SD_mkDTalU-00001-00000375-00000944 一生この家族と一緒に過ごせると思ってずっとやってきたはずなのに
-SD_mkDTalU-00002-00000944-00001579 あなたの都合家族の都合だけでほっぽり出せるとこの子の気持ちっていうものを一生はせず
-SD_mkDTalU-00003-00001580-00002042 結構きつめの言葉で言われたんですよ
-SD_mkDTalU-00004-00002043-00002349 それを僕は肌で聞いてて
-SD_mkDTalU-00005-00002350-00002482 あのー
-SD_mkDTalU-00006-00002483-00002857 今まで自分が買いたいと思ってたのは
-SD_mkDTalU-00007-00002858-00003021 自分のこう
-SD_mkDTalU-00008-00003022-00003568 可愛いとかそういう欲求を満たしたいとかそんな思いだけで
-SD_mkDTalU-00009-00003569-00003979 ワンちゃんとか猫ちゃん飼いたいなと思ってたんやなっていう風にすごく感じ
-SD_mkDTalU-00013-00005005-00005469 ワンちゃんネコちゃんと仲良く暮らすための30分番組
-SD_mkDTalU-00015-00005719-00006414 ネコワンはご覧のスポンサーの提供でお送りします
-SD_mkDTalU-00018-00007401-00008020 飼い主のいない猫に餌を与えるだけでは猫を救っていることにはなりません
-SD_mkDTalU-00020-00008187-00008829 餌を与えて栄養状態が良くなれば不幸な子猫が多数生まれます
-SD_mkDTalU-00021-00008830-00009150 不妊・虚勢手術を考えましょう。
-SD_mkDTalU-00022-00009151-00010204 手術をすることで多くの病気を防ぐことにつながります
-SD_mkDTalU-00023-00010205-00010933 イオグントベ町リバーサイドショッピングセンター内トベペットクリニックは猫はもう大平
-SD_mkDTalU-00024-00010934-00011040 よろしくお願いします。
-SD_mkDTalU-00026-00011556-00011696 泣かないし
-SD_mkDTalU-00027-00011697-00012087 鳴き声聞いたことありますか?
-SD_mkDTalU-00028-00012088-00012597 たまに外に出てくるんです
-SD_mkDTalU-00029-00012598-00013557 パンちゃんがいるって気づかないでしょうね近所の人も小さい
-SD_mkDTalU-00030-00013558-00014097 先生に言わすとちょっと痩せ方ですねもうちょっと太ってもいい
-SD_mkDTalU-00031-00014099-00014991 ご飯食べてるのに?ご飯は食べてる。
-SD_mkDTalU-00032-00014993-00015944 今日は最近子犬を飼い始めたという話です
-SD_mkDTalU-00033-00015946-00016507 スギちゃんと大郎さんが出会われたきっかけっていうのは何だったんですか?
-SD_mkDTalU-00034-00016508-00017014 これは話せばすごく長くなるんですけど
-SD_mkDTalU-00035-00017015-00017138 あのー
-SD_mkDTalU-00036-00017139-00017402 譲渡会なんですね
-SD_mkDTalU-00038-00017542-00017930 お仕事の関係でちょっと譲渡会の方とお知らせになって
-SD_mkDTalU-00039-00017931-00018385 まあ譲渡会の方で参加させていただくと
-SD_mkDTalU-00040-00018386-00018818 結論から言えばそういうことなんですけど衝突っていうのは
-SD_mkDTalU-00041-00018819-00019385 僕も元々はよく知らなかった部分があるんで
-SD_mkDTalU-00042-00019386-00019508 ですけど
-SD_mkDTalU-00043-00019509-00019890 あのー、施設とかで、あのー
-SD_mkDTalU-00044-00019891-00020223 駅バンがなくなった
-SD_mkDTalU-00045-00020224-00020529 飼い主がちょっきゃいなくなってしまったとか
-SD_mkDTalU-00046-00020530-00020943 道で迷ってた犬とかを施設の方で保護している
-SD_mkDTalU-00047-00020944-00021282 ワンちゃんネコちゃんがいるんですけどねまあそういう
-SD_mkDTalU-00048-00021283-00021653 動物たちを
-SD_mkDTalU-00049-00021654-00022228 聞き取って新しい里親を探そうという活動をされている方が松山ネットワーク
-SD_mkDTalU-00050-00022229-00022394 いらっしゃるということで
-SD_mkDTalU-00051-00022395-00022978 そういう方とお仕事をさせていただくきっかけがあったんですね
-SD_mkDTalU-00052-00022979-00023390 どうして麦ちゃんを迎えようと思ったんですか
-SD_mkDTalU-00053-00023391-00023686 もともと
-SD_mkDTalU-00054-00023687-00024215 ワンちゃんとか猫ちゃんは飼いたいなっていう思いはあったんですよ
-SD_mkDTalU-00055-00024216-00024935 ただそれを本当に買おうと思うとやっぱり一歩踏み出す勇気とかやっぱりその責任が伴うとか
-SD_mkDTalU-00056-00024936-00025358 もちろん家族の同意もあるしそんなのもあってずっと
-SD_mkDTalU-00057-00025359-00026133 もう潰せたような思いがあったんですけどこの譲渡会に参加させていただいて
-SD_mkDTalU-00058-00026133-00026612 出会いというよりも自分の中の意識を変えていただいた
-SD_mkDTalU-00059-00026613-00026949 そんな出来事があったというかそういうことを教えていただいた
-SD_mkDTalU-00060-00026950-00027419 というのがもう一つの今回の動きと
-SD_mkDTalU-00061-00027420-00027798 麦を育てることになるきっかけですよね
-SD_mkDTalU-00063-00028188-00028599 譲渡会の方とお話ししてた時に
-SD_mkDTalU-00064-00028600-00028886 電話が鳴ってきたんです携帯電話が
-SD_mkDTalU-00065-00028887-00029277 でその電話スタッフの方が取られてきて
-SD_mkDTalU-00066-00029277-00029725 お話ししてると相手の方がね
-SD_mkDTalU-00068-00030027-00030411 お家で飼っているワンちゃんが飼えなくなってしまったと
-SD_mkDTalU-00069-00030412-00030786 買えなくなってしまったので引き取っていただけませんか
-SD_mkDTalU-00070-00030787-00031118 みたいな話だったんですよで
-SD_mkDTalU-00071-00031119-00031552 でその後いろいろやりとりがあって最終的にはその
-SD_mkDTalU-00072-00031554-00032336 引き取りますよっていう話で落ち着いたわけです最後にスタッフの方がねその買い主と
-SD_mkDTalU-00073-00032337-00032564 という形に
-SD_mkDTalU-00075-00032755-00033192 私たちは今回この子を引き取ることにしました
-SD_mkDTalU-00076-00033193-00033805 でも私はあなたが取った行動を認めたわけではないんですよと
-SD_mkDTalU-00077-00033806-00033918 この子は
-SD_mkDTalU-00080-00034702-00035336 あなたの都合家族の都合だけでほっぽり出せるとこの子の気持ちっていうものを一生はさ
-SD_mkDTalU-00082-00035446-00035801 結構きつめの言葉で言われたんですよ
-SD_mkDTalU-00085-00036238-00036615 今まで自分が買いたいと思ってたのは
-SD_mkDTalU-00086-00036616-00036783 自分の子を
-SD_mkDTalU-00087-00036784-00037327 可愛いとかそういう欲求を満たしたいとかそんな思いだけで
-SD_mkDTalU-00088-00037328-00037735 ワンちゃんとかネクちゃん飼いたいなと思ってたんやなっていう風にすごく感じ
-SD_mkDTalU-00090-00037838-00038488 上都会の命を守る活動こういうことが命を守る活動ということなん
-SD_mkDTalU-00091-00038489-00038713 そういう目の当たりにして
-SD_mkDTalU-00092-00038714-00039043 その時から僕の考え方がガラッと
-SD_mkDTalU-00096-00040018-00040487 風な形でワンちゃん猫ちゃんと接していきたいとその時にすごく強く思った
-SD_mkDTalU-00098-00040628-00042091 ちょっと大きなひっかけではありましたね。
-SD_mkDTalU-00100-00043867-00044461 エマート道徳病院の猫アオを応援しています
-SD_mkDTalU-00102-00044840-00045462 もしワンちゃんや猫ちゃんがいなくなったらすぐに警察と保健所
-SD_mkDTalU-00103-00045463-00045939 愛媛県動物愛護センターすべてに連絡してください
-SD_mkDTalU-00104-00045940-00046746 写真を持っていくと確実です保健所に収容されると1週間から2週間で殺処分になります
-SD_mkDTalU-00105-00046747-00047031 ってしまうケースが多いんです
-SD_mkDTalU-00106-00047032-00047819 マイクロチップを埋め込んでおくと首輪がちぎれても大丈夫です。
-SD_mkDTalU-00107-00047820-00048251 今治市古国部桜井動物クリニックは
-SD_mkDTalU-00108-00048252-00048733 猫はもう応変しています
-SD_mkDTalU-00109-00048734-00049309 お家でおやつを食べる麦ちゃん。渡辺さん、どんな出会いだったんですか?
-SD_mkDTalU-00110-00049310-00049560 一番初めの出会いっていうのは
-SD_mkDTalU-00111-00049561-00050267 譲渡会に行った時に配布された1枚のチラシチラシっていうかチラシですよね
-SD_mkDTalU-00112-00050268-00051027 その中に右の写真があったんですそのチラシというのは譲渡会に来る前の
-SD_mkDTalU-00113-00051028-00051558 ワンちゃんやネコちゃんで施設で預かってますよこの子たち誰か
-SD_mkDTalU-00114-00051559-00052068 なりませんかみたいなそういうチラシだっ たんです全部で12匹ぐらいの
-SD_mkDTalU-00115-00052069-00052249 て猫ちゃんがいたんですけど
-SD_mkDTalU-00116-00052250-00052641 その中で無理の写真見つけて
-SD_mkDTalU-00117-00052642-00053163 この子会ってみたいなとは思ったんですけどその時はもう全然でも
-SD_mkDTalU-00118-00053164-00053307 買おうとか
-SD_mkDTalU-00119-00053308-00053736 いうとこまでは正直言ってなかったそんな思いはなかったんです
-SD_mkDTalU-00120-00053737-00054116 うん、で、あの、でも
-SD_mkDTalU-00121-00054116-00054779 どっちかというとその施設を見てみたいという思いの方が強かったですねどういう施設
-SD_mkDTalU-00122-00054779-00055355 この子たちを預けられているのかなというのを見たかったというので
-SD_mkDTalU-00123-00055357-00056028 案内していただいてその時はもう僕一人じゃなくて妻も一緒にちょっと一緒に
-SD_mkDTalU-00124-00056029-00056217 行こうということでね
-SD_mkDTalU-00125-00056219-00056396 行きました
-SD_mkDTalU-00126-00056397-00056792 行くときにいろいろなことを想像してたんですよ
-SD_mkDTalU-00127-00056793-00057085 多分薄暗いとこに
-SD_mkDTalU-00128-00057086-00057469 大きい鉄格子が並べられててその中にこう
-SD_mkDTalU-00129-00057470-00057862 ワンちゃんとか猫ちゃんがいられてねなんか
-SD_mkDTalU-00131-00058075-00058551 寂しそうにしてる風景があるんだろうなみたいなねうわなんか寂しそうやなとかって
-SD_mkDTalU-00132-00058552-00058691 言いながら言ったんです
-SD_mkDTalU-00133-00058692-00059094 で案内されてその施設に入ったらもう
-SD_mkDTalU-00134-00059095-00059394 想像通りの施設だったんですよ
-SD_mkDTalU-00135-00059395-00059966 ファミリーどこだっしょ?あの松山市の第4松山市の市役所の第4ベースだ
-SD_mkDTalU-00136-00059967-00060279 いわゆる松山市の中心地にあるところですよね
-SD_mkDTalU-00138-00060379-00061030 そこに案内していただいて小さい施設ではあるんですけど始めていてでも本当に
-SD_mkDTalU-00139-00061032-00061328 想像通りのちょっと
-SD_mkDTalU-00140-00061329-00061687 エピという漢字、正直僕はそう感じたんです。
-SD_mkDTalU-00143-00061855-00062347 その中に入ってるワンちゃんとか猫ちゃんもいたんだけどちょっと僕自身
-SD_mkDTalU-00144-00062348-00062725 目が合わせられないような感じだったんですよ
-SD_mkDTalU-00146-00062862-00063366 ちょっとなんか辛いかわいそうっていう思いの方が強かったのかな
-SD_mkDTalU-00149-00063664-00063905 あの
-SD_mkDTalU-00150-00063907-00065907 なんかじっと読みんなという話を妻としながら見てたんですけど、まあでもせっかく来たのでこの子の写真があって、その写真を見せてこの子はどこにいますかみたいな施設の方にお伺いしたら、ああこの子はここにいますよっていう形で、一番下の。
-SD_mkDTalU-00151-00065908-00066219 檻の大きい檻の中に
-SD_mkDTalU-00152-00066220-00066397 2匹入ってたらいいですよ
-SD_mkDTalU-00154-00066512-00067168 2匹が遊ぶわけでもないその白い檻の端っこと端っこにいるわけなんですよ
